id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
041001,19601,11455.0,13178.0,8146.0,5032.0,6423.0,100.0,58.44089587265956,67.23126371103515,41.55910412734044,25.672159583694707,32.76873628896485
042002,13186,4892.0,10123.0,8294.0,1829.0,3063.0,100.0,37.09995449719399,76.77081753374792,62.900045502806,13.870772030941907,23.229182466252084
042003,27845,10750.0,21854.0,17095.0,4759.0,5991.0,100.0,38.60657209552882,78.48446758843598,61.393427904471174,17.091039683964805,21.515532411564013
043004,42982,19868.0,31640.0,23114.0,8526.0,11342.0,100.0,46.224000744497694,73.61220976222604,53.775999255502306,19.836210506723745,26.38779023777395
043005,16099,8590.0,10723.0,7509.0,3214.0,5376.0,100.0,53.35735138828499,66.60662152928754,46.64264861171502,19.96397291757252,33.39337847071246
043006,50863,27620.0,34520.0,23243.0,11277.0,16343.0,100.0,54.30273479739694,67.86858816821658,45.69726520260307,22.17132296561351,32.13141183178342
044007,19791,8875.0,15127.0,10916.0,4211.0,4664.0,100.0,44.84361578495275,76.43373250467384,55.15638421504724,21.277348289626598,23.56626749532616
044008,34201,12499.0,27483.0,21702.0,5781.0,6718.0,100.0,36.545715037572,80.35729949416684,63.454284962428,16.90301453173884,19.64270050583316
045009,28177,13846.0,20308.0,14331.0,5977.0,7869.0,100.0,49.139368988891654,72.07296731376654,50.860631011108346,21.212336302658198,27.927032686233456
045010,40517,20134.0,28800.0,20383.0,8417.0,11717.0,100.0,49.692721573660435,71.08127452674186,50.307278426339565,20.7739961004023,28.91872547325814
045011,49589,22413.0,36781.0,27176.0,9605.0,12808.0,100.0,45.197523644356615,74.1716913025066,54.80247635564339,19.369214946863217,25.828308697493398
051001,29747,11824.0,23042.0,17923.0,5119.0,6705.0,100.0,39.748546071872795,77.45991192389148,60.251453928127205,17.208457995764277,22.540088076108518
051002,43067,21730.0,31122.0,21337.0,9785.0,11945.0,100.0,50.456265818376025,72.26414656233311,49.54373418162398,22.720412380709128,27.73585343766689
051003,41437,23485.0,25669.0,17952.0,7717.0,15768.0,100.0,56.67640031855588,61.947052151458834,43.32359968144412,18.62345247001472,38.05294784854116
052004,23796,8231.0,19357.0,15565.0,3792.0,4439.0,100.0,34.58984703311481,81.34560430324424,65.41015296688519,15.935451336359051,18.654395696755756
052005,31047,16537.0,21559.0,14510.0,7049.0,9488.0,100.0,53.26440557863884,69.4398814700293,46.73559442136116,22.70428704866815,30.560118529970694
052006,37133,16138.0,27149.0,20995.0,6154.0,9984.0,100.0,43.45999515255971,73.11286456790455,56.54000484744029,16.57285972046428,26.887135432095437
053007,19983,11215.0,14592.0,8768.0,5824.0,5391.0,100.0,56.12270429865386,73.02206875844468,43.87729570134614,29.144773057098533,26.977931241555318
053008,13606,7433.0,9367.0,6173.0,3194.0,4239.0,100.0,54.630310157283546,68.84462737027782,45.36968984271645,23.47493752756137,31.155372629722184
054009,20106,4397.0,18438.0,15709.0,2729.0,1668.0,100.0,21.869093802844922,91.70396896448821,78.13090619715508,13.573062767333136,8.296031035511788
061001,22077,8074.0,17840.0,14003.0,3837.0,4237.0,100.0,36.57199800697558,80.8080808080808,63.42800199302442,17.380078815056393,19.19191919191919
061002,53976,20638.0,43076.0,33338.0,9738.0,10900.0,100.0,38.235512079442714,79.80583963242923,61.764487920557286,18.041351711871943,20.19416036757077
062003,44651,15958.0,36190.0,28693.0,7497.0,8461.0,100.0,35.7394011332333,81.0508163311012,64.2605988667667,16.790217464334507,18.94918366889879
062004,35845,12405.0,29230.0,23440.0,5790.0,6615.0,100.0,34.607337146045474,81.54554331147999,65.39266285395453,16.152880457525455,18.454456688520015
063005,34295,10464.0,28946.0,23831.0,5115.0,5349.0,100.0,30.51173640472372,84.40297419448899,69.48826359527628,14.914710599212713,15.597025805511008
063006,49353,16104.0,40793.0,33249.0,7544.0,8560.0,100.0,32.63023524405811,82.65556298502624,67.36976475594189,15.285798229084351,17.34443701497376
