id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0110,124970,6273,8530,2637,13162,46932,16440,14436,16560,61283,43811,100.0,5.019604705129231,6.825638153156757,2.11010642554213,10.532127710650556,37.55461310714571,13.155157237737056,11.551572377370569,13.251180283267985,49.03816916059854,35.05721373129551
0120,90514,4401,5937,1940,11258,34606,10013,10123,12236,43335,32155,100.0,4.862231257043109,6.55920631062598,2.1433148463221157,12.43785491747133,38.232759573104715,11.062377090836776,11.183905252226175,13.518350752369798,47.87657158008706,35.52489117705549
0130,78879,4390,7318,2503,10977,26293,9594,8361,9443,38179,30739,100.0,5.565486377869902,9.277500982517527,3.1732146705713817,13.91625147377629,33.33333333333333,12.162933100064656,10.599779408968168,11.971500652898744,48.401982783757404,38.96981452604622
0140,103039,5063,7061,2441,13529,37891,11601,11543,13910,49679,40305,100.0,4.91367346344588,6.852745077106727,2.3690059103834473,13.129979910519317,36.7734547113229,11.25884373877852,11.202554372616195,13.499742815827018,48.213783130659266,39.116256951251465
0210,40958,2129,3539,1375,5256,13080,5282,4932,5365,20078,15425,100.0,5.19800771522047,8.640558621026418,3.3570975145270765,12.83265784462132,31.93515308364666,12.896137506714195,12.041603593925485,13.098784120318374,49.02094828849065,37.66053029933102
0220,64163,3074,4682,1558,6142,22295,8982,8836,8594,31830,17275,100.0,4.790923117684647,7.297040350357682,2.428190701806337,9.57249505166529,34.74744011346103,13.998722004893786,13.771176534763024,13.394012125368201,49.60802954974051,26.923616414444464
0230,45603,1876,3117,1065,4645,15971,7182,6090,5657,21835,15173,100.0,4.11376444532158,6.835076639694757,2.3353726728504705,10.185733394732804,35.021818739995176,15.748963883955003,13.354384579961845,12.404885643488367,47.88062188891082,33.271933864000175
0240,53705,2856,3798,1057,5839,20715,6272,5325,7843,26559,16060,100.0,5.317940601433759,7.071967228377246,1.9681593892561213,10.872358253421469,38.57182757657574,11.678614654129039,9.915277907085002,14.603854389721626,49.45349595009776,29.904105762964345
0250,88042,4679,6373,1693,8302,41525,12735,7456,5279,42189,25287,100.0,5.314508984348379,7.238590672633515,1.922945866745417,9.429590422752778,47.164989436859685,14.464687308330115,8.468685400149928,5.996001908180187,47.91917493923355,28.721519274891527
0310,17772,1142,1653,496,1728,4697,2095,2079,3882,8880,3806,100.0,6.425838397479181,9.301147873058744,2.7909070447895568,9.723160027008777,26.429214494710777,11.788206167004276,11.698176907494934,21.84334908845375,49.966239027684,21.41571010578438
0320,48878,2500,5066,1620,4245,11210,6858,8053,9326,25013,6444,100.0,5.114775563648267,10.364581202176847,3.3143745652440773,8.684888907074757,22.93465362739883,14.030852326199927,16.475715045623797,19.080158762633495,51.17435246941364,13.183845492859772
0330,38265,2176,4087,1214,3212,8618,4777,6121,8060,19281,5578,100.0,5.686658826603947,10.68077877956357,3.172612047563047,8.394093819417222,22.5218868417614,12.483993205278976,15.996341304063765,21.06363517574807,50.38808310466484,14.577289951652947
0340,95650,5052,8636,2975,8765,27047,13560,13139,16476,49872,14333,100.0,5.281756403554627,9.028750653423941,3.1102979613173027,9.163617354939884,28.277051751176163,14.176685833768948,13.736539466806065,17.22530057501307,52.14009409304757,14.984840564558285
0350,57840,3057,5157,1613,5523,18168,7814,7492,9016,29444,11433,100.0,5.285269709543568,8.91597510373444,2.788727524204703,9.54875518672199,31.410788381742737,13.509681881051176,12.952973720608577,15.587828492392807,50.90594744121715,19.766597510373444
0360,108822,5237,8282,2751,10609,40492,16835,12586,12030,54986,27427,100.0,4.812446012754774,7.610593446178163,2.527981474334234,9.748947823050486,37.20938780761243,15.47021741927184,11.565676058150007,11.054749958648067,50.528385804341035,25.2035434011505
0370,60946,3012,5046,1788,5949,21348,10333,8341,5129,30524,14832,100.0,4.942079873986808,8.279460506021724,2.9337446263905753,9.76109999015522,35.027729465428415,16.95435303383323,13.685885866176614,8.415646638007416,50.083680635316504,24.336297706166114
0410,19601,1032,1635,579,2065,5161,2428,2626,4075,9971,6423,100.0,5.265037498086833,8.34141115249222,2.95393092189174,10.535176776695067,26.330289270955564,12.387123105963981,13.397275649201571,20.789755624713024,50.86985357889904,32.76873628896485
0420,41031,1757,2881,1010,4577,9469,4341,5881,11115,21489,9054,100.0,4.282128147010797,7.0215203139089954,2.4615534595793425,11.154980380687771,23.077672978967122,10.579805512904878,14.333065243352586,27.089273963588507,52.37259632960445,22.066242597060757
0430,109944,5248,6892,2261,12252,34552,12419,14527,21793,56104,33061,100.0,4.773339154478644,6.268645856072181,2.0565014916684854,11.143855053481772,31.426908244197044,11.295750563923452,13.213090300516628,19.821909335661793,51.029615076766355,30.07076329767882
0440,53992,2428,4088,1326,4682,12077,6269,8000,15122,28831,11382,100.0,4.496962512964884,7.571492072899688,2.455919395465995,8.67165506000889,22.36812861164617,11.6109794043562,14.81700992739665,28.007853015261517,53.3986516520966,21.080900874203586
0450,118283,5199,7735,2617,11753,33532,13494,16582,27371,60758,32394,100.0,4.395390715487433,6.539401266454183,2.212490383233432,9.936339118892825,28.34895969835057,11.408232797612506,14.018920724026277,23.14026529594278,51.3666376402357,27.386860326505076
0510,114251,6933,10711,3386,12233,30852,12755,14841,22540,58007,34418,100.0,6.068218221284715,9.374972647941812,2.963650208750908,10.707127289914311,27.003702374596283,11.164016069881226,12.989820658024875,19.728492529605866,50.77154685735792,30.124900438508195
0520,91976,5130,8739,2833,9152,22526,10387,13177,20032,46913,23911,100.0,5.577541967469775,9.501391667391493,3.080151343828825,9.950421849178047,24.491171609985212,11.29316343393929,14.326563451335131,21.77959467687223,51.00569713838392,25.996999217187096
0530,33589,2277,3125,962,3718,9819,3896,4229,5563,16946,9630,100.0,6.779005031409093,9.303641072970317,2.8640328679031826,11.069100002977166,29.232784542558576,11.599035398493553,12.59043139122927,16.56196969245884,50.45104051921761,28.67010033046533
