id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
011001,16264,780,1064,341,1923,5792,1898,1931,2535,7676,6725,100.0,4.795868175110673,6.5420560747663545,2.0966551893753076,11.823659616330547,35.61239547466798,11.669945892769306,11.872848007870143,15.586571569109688,47.19626168224299,41.348991637973434
011002,13699,640,844,227,1277,5096,1574,1636,2405,6692,5387,100.0,4.671873859405796,6.161033652091394,1.6570552595079933,9.321848310095628,37.199795605518645,11.48988977297613,11.942477553106066,17.556025987298344,48.85028104241185,39.32403825096723
011003,62365,3008,4064,1216,6830,22917,7805,7158,9367,30704,21216,100.0,4.823218151206606,6.5164755872685,1.9498115930409683,10.951655576044256,36.74657259680911,12.515032470135493,11.47759159785136,15.01964242764371,49.232742724284456,34.01908121542532
011004,32642,1845,2558,853,3132,13127,5163,3711,2253,16211,10483,100.0,5.652227191961277,7.836529624410268,2.6131977207278965,9.595000306353779,40.215060351694135,15.817045524171313,11.368788677164389,6.902150603516942,49.66301084492372,32.115066478769684
012005,46769,2108,2936,998,5951,17746,5199,5389,6442,22257,16518,100.0,4.50725908187047,6.277662554256025,2.13389210802027,12.724240415659946,37.943937223374455,11.116337745087558,11.522589749620476,13.7740811221108,47.58921507836387,35.31826637302486
012006,43745,2293,3001,942,5307,16860,4814,4734,5794,21078,15637,100.0,5.241741913361527,6.860212595725226,2.1533889587381414,12.131672191107555,38.54154760544063,11.004686249857127,10.82180820665219,13.244942279117614,48.18379243342096,35.74579951994514
013007,38737,2170,3440,1199,5384,13560,4671,4064,4249,18470,16314,100.0,5.601879340165733,8.880398585331854,3.0952319487828177,13.898856390531018,35.005292097994165,12.05823889304799,10.491261584531584,10.968841159614838,47.680512171825384,42.11477398869298
013008,40142,2220,3878,1304,5593,12733,4923,4297,5194,19709,14425,100.0,5.530367196452593,9.66070449902845,3.248467938817199,13.933037716107819,31.71989437496886,12.263962931592845,10.704499028449007,12.939066314583231,49.09820138508296,35.934930994967864
014009,46543,2354,3086,950,5590,16317,5131,5541,7574,22877,15645,100.0,5.0576885890466885,6.630427776464774,2.0411232623595383,12.010398985884022,35.057903444126936,11.024214167543992,11.90511999656232,16.27312377801173,49.15239670842017,33.61407730485787
014010,56496,2709,3975,1491,7939,21574,6470,6002,6336,26802,24660,100.0,4.795029736618521,7.0358963466440105,2.639124893797791,14.052322288303598,38.18677428490513,11.452138204474654,10.623760974228263,11.214953271028037,47.44052676295667,43.64910790144435
