id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,397402,234273.0,250392.0,163129.0,87263.0,147010.0,100.0,58.95113763896508,63.007231971655905,41.04886236103492,21.958369610620984,36.992768028344095
02,292471,146479.0,203251.0,145992.0,57259.0,89220.0,100.0,50.08325611770056,69.4944114117297,49.91674388229944,19.57766752943027,30.50558858827029
03,428173,131002.0,344320.0,297171.0,47149.0,83853.0,100.0,30.5955770214376,80.41609349491911,69.40442297856241,11.011670516356705,19.58390650508089
04,342851,160942.0,250537.0,181909.0,68628.0,92314.0,100.0,46.94225771545074,73.07460091993315,53.05774228454927,20.016858635383883,26.925399080066853
05,259922,120990.0,190295.0,138932.0,51363.0,69627.0,100.0,46.548579958602964,73.21234831988058,53.451420041397036,19.760928278483544,26.787651680119424
06,309356,103766.0,254786.0,205590.0,49196.0,54570.0,100.0,33.54258524159868,82.36012878366672,66.45741475840133,15.902714025265391,17.639871216333287
07,357229,154536.0,273860.0,202693.0,71167.0,83369.0,100.0,43.259645773439445,76.6623090510569,56.740354226560555,19.921954824496332,23.337690948943116
08,330261,172432.0,235825.0,157829.0,77996.0,94436.0,100.0,52.2108271942494,71.40564583768595,47.7891728057506,23.61647303193535,28.59435416231405
09,299420,80066.0,247180.0,219354.0,27826.0,52240.0,100.0,26.74036470509652,82.55293567563957,73.25963529490348,9.29330038073609,17.447064324360433
10,295403,90571.0,236609.0,204832.0,31777.0,58794.0,100.0,30.660149016766923,80.0970200031821,69.33985098323308,10.757169019949018,19.90297999681791
11,316730,119147.0,236174.0,197583.0,38591.0,80556.0,100.0,37.617844852082214,74.56634988791716,62.382155147917786,12.184194739999368,25.433650112082844
12,273427,114837.0,208374.0,158590.0,49784.0,65053.0,100.0,41.999144195708546,76.20827496918739,58.000855804291454,18.20741916489593,23.79172503081261
