id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01200520,4553,284,387,130,612,1630,577,511,422,2124,2766,100.0,6.237645508455963,8.499890182297385,2.8552602679551944,13.441686799912144,35.80057105205359,12.672962881616517,11.223369207116187,9.268614100593016,46.65056007028333,60.75115308587744
01200521,3090,220,309,111,468,1039,411,280,252,1387,1951,100.0,7.119741100323624,10.0,3.5922330097087376,15.145631067961165,33.62459546925567,13.300970873786408,9.06148867313916,8.155339805825243,44.88673139158576,63.13915857605178
01200522,4105,289,334,127,474,1570,491,371,449,2053,2307,100.0,7.0401948842874535,8.136419001218027,3.0937880633373935,11.546894031668696,38.24604141291108,11.961023142509134,9.037758830694276,10.937880633373934,50.0121802679659,56.19975639464069
01200623,5544,374,517,159,768,2159,692,479,396,2634,3385,100.0,6.746031746031746,9.325396825396826,2.867965367965368,13.852813852813853,38.94300144300144,12.481962481962482,8.63997113997114,7.142857142857142,47.51082251082251,61.05699855699855
01200624,4267,386,329,72,532,2337,326,147,138,2028,2985,100.0,9.046168268104054,7.710335130067963,1.687368174361378,12.467775955003516,54.769158659479736,7.640028122802906,3.445043355987813,3.2341223341926413,47.527536911178814,69.95547222873213
01200625,4137,316,497,170,472,1290,562,362,468,2016,2331,100.0,7.6383853033599225,12.013536379018612,4.109257916364515,11.409233744259124,31.18201595358956,13.58472322939328,8.75030215131738,11.312545322697606,48.73096446700508,56.34517766497462
01200626,2522,146,206,57,270,1022,351,225,245,1188,1518,100.0,5.789056304520222,8.16812053925456,2.260111022997621,10.70578905630452,40.52339413164155,13.917525773195877,8.921490880253767,9.71451229183188,47.105471847739885,60.190325138778746
01200627,2081,197,290,109,209,609,253,198,216,1026,1049,100.0,9.466602594906295,13.935607880826526,5.237866410379626,10.043248438250842,29.264776549735704,12.157616530514176,9.514656415185009,10.379625180201826,49.303219605958674,50.40845747236905
01200628,1424,125,113,45,132,613,174,124,98,689,770,100.0,8.77808988764045,7.935393258426966,3.160112359550562,9.269662921348315,43.04775280898877,12.219101123595506,8.707865168539326,6.882022471910113,48.38483146067416,54.07303370786517
01200629,2904,139,160,48,670,1176,276,195,240,1380,2029,100.0,4.7865013774104685,5.5096418732782375,1.6528925619834711,23.07162534435262,40.49586776859504,9.50413223140496,6.714876033057851,8.264462809917356,47.5206611570248,69.86914600550963
01300730,5702,509,743,230,750,1797,731,492,450,2688,3722,100.0,8.926692388635567,13.030515608558401,4.033672395650649,13.153279551034725,31.5152578042792,12.820063135741844,8.62855138547878,7.891967730620834,47.14135391090845,65.27534198526833
