id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
0110,58438,17531,1996,802,2537,1190,1571,2392,1273,942,390,1947,1896,333,569,7525,3546,1425,454,12350,3322,890,5609,546,1475,2016,3065,1890,100.0,29.999315513877956,3.4155857489989385,1.3723946746979705,4.341353229063281,2.03634621308053,2.6883192443273214,4.0932270098223755,2.178377083404634,1.611964817413327,0.6673739689927787,3.331736199048564,3.2444642184879706,0.5698346966015264,0.973681508607413,12.876895170950409,6.067969471918957,2.4384818097813064,0.7768917485197988,21.133509018104657,5.684657243574386,1.522981621547623,9.598206646360245,0.9343235565898901,2.524042575036791,3.4498100551011333,5.2448749101611964,3.2341969266573125
0120,46182,12909,1122,717,1484,541,786,2955,1452,899,623,861,2961,539,1029,3614,1508,861,229,16086,6473,727,6452,1666,1537,384,922,2741,100.0,27.95244900610627,2.4295179940236453,1.55255294270495,3.2133731756961588,1.1714520808973192,1.701961803299987,6.39859685591789,3.144082109912953,1.9466458793469317,1.3490104369667835,1.8643627387293753,6.411588930752241,1.167121389285869,2.2281408340912043,7.825559741890779,3.2653414750335625,1.8643627387293753,0.4958641895110649,34.83175263089515,14.016283400459054,1.5742064007622019,13.970811138538824,3.60746611233814,3.3281365033995933,0.8314927893984669,1.9964488328786107,5.935212853492703
0130,49629,11010,629,845,984,350,549,2652,1965,995,556,525,3522,867,1082,2832,1234,495,312,24339,13572,248,7747,2317,1742,211,578,3948,100.0,22.184609804751254,1.2674041387092225,1.7026335408732798,1.9827117209695944,0.7052328275806484,1.1062080638336458,5.34364988212537,3.9593785891313544,2.0048761812649865,1.1203127203852585,1.0578492413709726,7.096657196397267,1.7469624614640633,2.180176912692176,5.706341050595419,2.486449454955772,0.9974007132926314,0.6286646920147495,49.04189082995829,27.346914102641602,0.499707832114288,15.609824900763666,4.668641318583893,3.5100445304156844,0.42515464748433374,1.164641640976042,7.955026295109715
0140,58067,16367,1143,1049,1472,498,776,3901,3294,1280,697,806,3975,1035,1168,2793,1088,507,214,24288,12364,495,8021,2025,1812,435,765,3651,100.0,28.186405359326294,1.9684157955465238,1.8065338316083146,2.5350026693302565,0.8576299791620026,1.336387276766494,6.718101503435686,5.672757332047462,2.2043501472437015,1.2003375411162966,1.3880517333425182,6.845540496323213,1.7824237518728365,2.0114695093598773,4.8099609072278575,1.873697625157146,0.8731293161348097,0.36853979024230626,41.82754404394923,21.292644703532126,0.8524635335044001,13.81335353987635,3.487350818881637,3.1205331771918647,0.7491346203523516,1.3174436426886185,6.287564365302151
0210,27853,4331,367,302,599,193,274,832,618,221,202,269,879,289,204,1493,574,306,107,15545,10108,247,4276,1374,877,184,300,3264,100.0,15.549491975729723,1.3176318529422324,1.0842638135927907,2.150576239543317,0.6929235629914192,0.9837360427961082,2.987110903672854,2.218791512583923,0.793451333788102,0.7252360607474958,0.9657846551538434,3.155853947510143,1.0375902057229023,0.7324166158044018,5.360284349980254,2.060819301331993,1.0986249237066026,0.38415969554446555,55.8108641798011,36.29052525760241,0.8867985495278785,15.352026711664813,4.9330413240943525,3.148673392453236,0.6606110652353426,1.0770832585358847,11.718665852870428
0220,28599,9841,1397,550,1653,566,853,1321,521,415,452,1160,1285,242,333,1082,466,171,77,8534,4757,314,2721,898,578,107,1323,1617,100.0,34.41029406622609,4.884786181335012,1.923144165879926,5.779922374908213,1.9790901779782508,2.9826217699919577,4.619042623867967,1.8217420189517115,1.4510996888003078,1.5804748417776844,4.056085877128571,4.493164096646736,0.8461834329871674,1.1643763767963915,3.783349068149236,1.6294276023637189,0.5979230043008497,0.26924018322318966,29.84020420294416,16.633448721983285,1.0979404874296304,9.514318682471416,3.139969929018497,2.021049687051995,0.3741389559075492,4.626035875380258,5.654043847686982
0230,25333,6404,945,369,1103,434,646,670,413,188,153,819,679,186,165,588,204,91,42,11392,9050,157,1617,327,349,53,852,2089,100.0,25.27927999052619,3.7303122409505387,1.4565981131330676,4.354004657956026,1.7131804365846919,2.5500335530730665,2.6447716417321283,1.6302846090080134,0.7421150278293136,0.6039553152015158,3.232937275490467,2.6802984249792763,0.7342201871077251,0.6513243595310464,2.321083172147002,0.8052737536020211,0.35921525283227407,0.16579165515335728,44.969012750167764,35.7241542651877,0.6197449966446926,6.382978723404255,1.2908064579797103,1.377649705917183,0.20921327912209373,3.363202147396676,8.246161133699127
0240,19516,6070,612,185,847,274,563,947,475,484,166,491,962,165,235,2274,1003,427,205,4158,891,213,1946,134,741,1763,508,639,100.0,31.102684976429597,3.1358885017421603,0.9479401516704242,4.340028694404592,1.403976224636196,2.884812461569994,4.852428776388605,2.4339003894240623,2.4800163968026236,0.8505841360934617,2.5158844025415044,4.929288788686207,0.8454601352736216,1.2041401926624309,11.651977864316459,5.139372822299651,2.187948350071736,1.050420168067227,21.305595408895265,4.565484730477557,1.091412174625948,9.971305595408895,0.6866161098585776,3.796884607501537,9.033613445378151,2.6029924164787865,3.2742365238778435
0250,32317,13319,1831,537,2310,745,1448,1780,563,641,240,1438,1260,348,362,2670,1205,460,247,4704,1054,190,2298,125,885,1159,1525,720,100.0,41.2136027477798,5.665748677166816,1.66166413961692,7.1479407123185945,2.3052882383884645,4.480613918371136,5.50793699910264,1.7421171519633631,1.983476189002692,0.7426431908902434,4.449670452084042,3.8988767521737784,1.076832626790853,1.120153479592784,8.26190549865396,3.7286876875947645,1.4233994492063,0.764303617291209,14.555806541448774,3.2614413466596526,0.587925859454776,7.110808552774081,0.3867933285886685,2.738496766407773,3.586347742674134,4.718878608781756,2.2279295726707304
0310,3390,875,27,30,30,24,21,369,111,67,27,28,196,55,43,674,269,67,70,1318,141,59,566,11,245,130,35,28,100.0,25.81120943952802,0.7964601769911505,0.8849557522123894,0.8849557522123894,0.7079646017699115,0.6194690265486725,10.88495575221239,3.2743362831858405,1.9764011799410028,0.7964601769911505,0.8259587020648967,5.781710914454277,1.6224188790560472,1.2684365781710913,19.882005899705018,7.935103244837759,1.9764011799410028,2.0648967551622417,38.87905604719764,4.15929203539823,1.7404129793510323,16.696165191740413,0.32448377581120946,7.227138643067847,3.8348082595870205,1.0324483775811208,0.8259587020648967
