id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01,188733,59414,4638,3326,5557,2273,3308,3079,13451,8040,3863,2060,11764,2734,3978,14073,5962,2674,987,71200,36340,1642,23989,6315,4958,2566,3743,10788,100.0,31.48045121944758,2.4574398753795044,1.7622779270185924,2.944371148659747,1.2043468815734397,1.7527406441904703,1.6314052126549146,7.126999517837368,4.2599863298946135,2.04680686472424,1.091489034773993,6.233144177223909,1.4486072917825712,2.1077395050150214,7.456565624453592,3.1589600122924977,1.4168163490221635,0.5229610084087044,37.725252075683635,19.254714331886845,0.8700121335431534,12.710548764656949,3.345996725532896,2.626991570101678,1.3595926520534298,1.983224979203425,5.716011508321279
02,115370,36821,4264,1682,5232,2012,3205,3074,5162,2165,1473,1081,4697,1123,1371,6135,2497,1051,608,42383,27464,857,10665,2692,2395,2499,3840,7729,100.0,31.91557597295657,3.695934818410332,1.45791800294704,4.534974430094478,1.743954234202999,2.778018549016209,2.6644708329721762,4.474300078009881,1.8765710323307618,1.2767617231515993,0.9369853514778539,4.071249024876485,0.9733899627286123,1.1883505243997572,5.317673571985785,2.164340816503424,0.9109820577273121,0.5270000866776459,36.73658663430701,23.805148652162607,0.7428274248071423,9.244170928317587,2.333362225881945,2.075929617751582,2.1660743694201265,3.3284216000693423,6.699315246597902
03,73444,32269,3381,1141,4024,2013,2417,2659,5967,1470,1287,640,2692,494,718,9142,4026,1405,1104,13096,2250,657,6008,360,2273,2117,3268,1291,100.0,43.93687707641196,4.603507434235608,1.5535646206633624,5.479004411524427,2.740863787375415,3.290942759108981,3.6204455095038397,8.12455748597571,2.0015249714067864,1.7523555361908392,0.8714122324492131,3.665377702739502,0.6726213169217363,0.9776155982789608,12.447579107891727,5.48172757475083,1.913022166548663,1.5031861009748924,17.83127280649202,3.0635586297042643,0.8945591198736452,8.180382332116986,0.49016938075268235,3.094875006807908,2.8824682751484123,4.449648711943794,1.757801862643647
04,133257,46238,3690,2520,4843,2295,2229,2825,12369,2433,2652,2210,8507,1413,3105,17335,6290,4114,861,35334,11898,4030,13474,1888,3070,1533,4186,6696,100.0,34.69836481385593,2.7690853013350143,1.891082644814156,3.6343306542995863,1.7222359800986065,1.6727076251153785,2.1199636792063457,9.282063981629483,1.8257952677908103,1.9901393547806119,1.6584494623171766,6.383904785489693,1.0603570544136518,2.3300839730745855,13.008697479306901,4.72020231582581,3.0872674606212054,0.6461199036448367,26.515680226929916,8.928611630158265,3.0242313724607337,10.111288712788072,1.416811124368701,2.303818936341055,1.1504086089286116,3.1412983933301817,5.024876741934758
05,81211,24577,491,710,1366,594,453,936,11725,2283,2030,1479,6853,1436,2387,11726,5056,1310,2714,32411,12853,1701,10561,1762,3008,776,505,4978,100.0,30.263141692627848,0.604597899299356,0.8742658014308408,1.6820381475415893,0.7314280085210132,0.5578062085185505,1.1525532255482631,14.437699326445925,2.8111955276994496,2.499661375921981,1.8211818596003004,8.438512024233171,1.768233367400968,2.9392569972048124,14.43893068672963,6.22575759441455,1.6130819716540863,3.341911809976481,39.90961815517603,15.826673726465627,2.0945438425829015,13.004395956212827,2.169656819888931,3.7039317333858714,0.9555355801553977,0.6218369432712317,6.129711492285528
06,77206,27123,1553,1786,2120,1547,1024,1584,9324,1126,1152,1676,5544,1115,1646,7770,3210,1531,679,19430,6865,2100,6683,916,1971,529,4351,3863,100.0,35.13068932466389,2.011501696759319,2.3132917130792947,2.74590057767531,2.0037302800300494,1.3263217884620366,2.051654016527213,12.076781597285185,1.4584358728596223,1.4921120120197913,2.170815739709349,7.180789057845245,1.4441882755226276,2.1319586560630004,10.063984664404321,4.157707950159314,1.9830065020853302,0.8794653265290263,25.166437841618528,8.891795974406135,2.7199958552444112,8.656063000284952,1.1864362873351812,2.5529103955651116,0.6851799082972826,5.63557236484211,5.003497137528171
07,121289,38508,2472,2397,3643,1487,1462,1792,13105,2387,1877,2667,9497,1624,3344,11229,4447,2159,1432,43197,22196,1504,13975,3266,3711,824,2541,8885,100.0,31.748963220077663,2.0381073304256776,1.9762715497695587,3.0035699857365468,1.2259974111419831,1.2053854842566103,1.4774629191435331,10.804772073312503,1.9680267790154096,1.5475434705538014,2.1988803601315867,7.830058785215477,1.338950770473827,2.7570513401874863,9.258053079834115,3.666449554370141,1.780046005820808,1.1806511719941628,35.61493622669822,18.300093165909523,1.2400135214240369,11.52206712892348,2.6927421283051225,3.059634426864761,0.6793691101418925,2.0949962486293066,7.325478815061547
08,143621,41063,2640,1945,3884,1420,1784,2171,13236,3551,3345,1871,12746,2110,5161,5766,2122,909,918,62054,36292,732,20599,7924,3006,916,2051,12604,100.0,28.59122273205172,1.8381712980692237,1.3542587783123636,2.704339894583661,0.9887133497190522,1.242158180210415,1.511617381859199,9.215922462592518,2.472479651304475,2.329046587894528,1.3027342798058779,8.87474672923876,1.4691444844416903,3.5934856323239637,4.0147332214648275,1.4774998085238231,0.6329157992215623,0.6391822922831619,43.20677338272258,25.269285132397073,0.509674769010103,14.342610063987857,5.51729900223505,2.093008682574275,0.6377897382694732,1.4280641410378705,8.775875394266855
09,32010,11780,534,428,736,499,458,463,3922,1237,998,297,2251,547,873,4937,1997,719,866,9114,2176,270,3990,339,1433,1131,495,998,100.0,36.800999687597624,1.6682286785379568,1.33708216182443,2.2992814745392063,1.5588878475476413,1.430802874101843,1.4464229928147454,12.2524211184005,3.864417369572009,3.1177756950952826,0.9278350515463918,7.032177444548579,1.7088409871915025,2.727272727272727,15.423305217119651,6.238675413933146,2.2461730709153387,2.705404561074664,28.472352389878164,6.797875663855045,0.8434864104967198,12.46485473289597,1.0590440487347703,4.4767260231177755,3.533270852858482,1.5463917525773196,3.1177756950952826
10,42466,9880,116,308,341,149,196,139,3890,1093,1373,138,1700,238,645,18194,7982,1600,5542,13010,1037,190,3540,141,1475,4173,142,739,100.0,23.265671360617908,0.2731597042339754,0.7252861112419348,0.8029953374464277,0.35086893043846845,0.4615457071539585,0.32732068007347054,9.160269391984176,2.5738237648942683,3.233174775114209,0.3249658550369708,4.00320256204964,0.5604483586869495,1.5188621485423632,42.843686714077144,18.79621344134131,3.767720058399661,13.050440352281825,30.636273724862246,2.44195356285028,0.44741675693495975,8.336080629209249,0.3320303301464701,3.4733669288371876,9.826684877313616,0.3343851551829699,1.7402157019733435
