id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01011101,1747,100,101,19,354,677,163,186,147,818,1207,100.0,5.724098454493418,5.7813394390383515,1.0875787063537492,20.2633085289067,38.752146536920435,9.33028048082427,10.646823125357756,8.414424728105322,46.823125357756155,69.08986834573555
01011102,71,4,3,0,18,27,19,0,0,25,52,100.0,5.633802816901409,4.225352112676056,0.0,25.352112676056336,38.028169014084504,26.76056338028169,0.0,0.0,35.2112676056338,73.23943661971832
01011103,3248,234,334,125,512,1045,387,324,287,1441,2148,100.0,7.204433497536946,10.283251231527094,3.848522167487685,15.763546798029557,32.17364532019704,11.915024630541872,9.975369458128078,8.836206896551724,44.36576354679803,66.13300492610837
01011104,3030,206,322,153,646,1024,304,227,148,1413,1800,100.0,6.798679867986798,10.627062706270628,5.0495049504950495,21.32013201320132,33.79537953795379,10.033003300330034,7.491749174917492,4.884488448844884,46.633663366336634,59.4059405940594
01011105,657,65,58,15,60,213,121,77,48,329,458,100.0,9.89345509893455,8.82800608828006,2.28310502283105,9.1324200913242,32.42009132420091,18.41704718417047,11.71993911719939,7.30593607305936,50.076103500761036,69.71080669710807
01011201,1171,66,114,39,183,378,153,136,102,551,772,100.0,5.636208368915456,9.735269000853972,3.330486763450043,15.627668659265584,32.2801024765158,13.065755764304013,11.61400512382579,8.710503842869342,47.05380017079419,65.9265584970111
01011202,288,27,26,6,21,132,43,24,9,135,221,100.0,9.375,9.027777777777777,2.083333333333333,7.291666666666667,45.83333333333333,14.930555555555555,8.333333333333332,3.125,46.875,76.73611111111111
01011203,512,39,33,10,58,214,82,37,39,250,375,100.0,7.6171875,6.4453125,1.953125,11.328125,41.796875,16.015625,7.2265625,7.6171875,48.828125,73.2421875
01011204,3303,266,308,80,428,1341,393,285,202,1643,2176,100.0,8.053284892521951,9.324856191341205,2.4220405691795337,12.957917045110506,40.59945504087194,11.89827429609446,8.628519527702089,6.115652437178323,49.742658189524676,65.87950348168332
01011301,2538,224,156,27,334,1295,279,142,81,1228,1815,100.0,8.825847123719464,6.1465721040189125,1.0638297872340425,13.159968479117415,51.024428684003155,10.99290780141844,5.594956658786446,3.1914893617021276,48.38455476753349,71.5130023640662
01011302,4699,336,434,97,609,2321,602,181,119,2299,3246,100.0,7.150457544158331,9.236007661204512,2.0642689934028517,12.960204298786977,49.39348797616514,12.811236433283677,3.8518833794424348,2.532453713556076,48.925303256011915,69.07852734624387
01011303,4169,260,263,206,752,1937,405,229,117,1895,3079,100.0,6.236507555768769,6.308467258335332,4.94123290957064,18.037898776685058,46.46198129047733,9.714559846485967,5.492923962580955,2.8064284000959465,45.45454545454545,73.85464140081555
01011304,3084,313,329,116,489,1118,378,213,128,1566,1924,100.0,10.149156939040207,10.667963683527885,3.761348897535668,15.856031128404668,36.25162127107652,12.2568093385214,6.906614785992218,4.150453955901426,50.778210116731515,62.38651102464332
01011305,2653,233,230,64,337,1157,367,135,130,1206,1739,100.0,8.782510365623821,8.669430833019224,2.412363362231436,12.702600829249905,43.61100640784018,13.83339615529589,5.088578967206935,4.900113079532605,45.45797210704862,65.54843573313231
01011306,3726,312,257,79,876,1482,397,212,111,1790,2549,100.0,8.373590982286634,6.89747718733226,2.120236178207193,23.510466988727856,39.77455716586151,10.654857756307031,5.689747718733226,2.9790660225442833,48.040794417606016,68.41116478797639
01011401,6296,571,569,138,800,3194,661,224,139,3146,4544,100.0,9.069250317662007,9.03748411689962,2.1918678526048287,12.706480304955528,50.730622617534934,10.498729351969505,3.5578144853875475,2.207750952986023,49.96823379923761,72.1728081321474
01011402,4877,453,409,55,560,2689,459,151,101,2488,3379,100.0,9.288497026860774,8.386303055156858,1.1277424646298955,11.482468730777116,55.136354316177986,9.411523477547673,3.0961656756202585,2.0709452532294446,51.0149682181669,69.28439614517121
01022101,1825,161,157,50,328,672,239,116,102,836,1256,100.0,8.821917808219178,8.602739726027398,2.73972602739726,17.972602739726025,36.821917808219176,13.095890410958905,6.3561643835616435,5.589041095890411,45.80821917808219,68.82191780821918
01022102,3719,282,332,111,556,1401,475,308,254,1706,2553,100.0,7.582683517074483,8.927130949179887,2.9846732992739984,14.9502554450121,37.671417047593444,12.772250605001345,8.281796181769293,6.8297929550954555,45.87254638343641,68.64748588330197
01022103,186,7,41,4,16,78,24,10,6,91,132,100.0,3.763440860215054,22.043010752688172,2.1505376344086025,8.60215053763441,41.935483870967744,12.903225806451612,5.376344086021505,3.225806451612903,48.924731182795696,70.96774193548387
01022104,8842,607,800,264,1356,3218,1165,802,630,4074,5678,100.0,6.864962678127121,9.047726758651889,2.985749830355123,15.335896855914951,36.39448088667722,13.175752092286814,9.07034607554852,7.125084822438363,46.07554851843474,64.21624066953177
01022105,3064,238,336,116,504,1036,386,237,211,1420,1931,100.0,7.7676240208877285,10.966057441253264,3.7859007832898173,16.449086161879894,33.81201044386423,12.597911227154047,7.734986945169712,6.886422976501305,46.344647519582246,63.02219321148825
01022106,4232,304,438,124,652,1533,513,383,285,2032,2590,100.0,7.183364839319471,10.349716446124765,2.9300567107750473,15.406427221172022,36.22400756143667,12.121928166351607,9.050094517958412,6.734404536862004,48.01512287334593,61.20037807183365
01022201,5663,450,530,179,1040,2075,684,402,303,2596,3591,100.0,7.946318205897934,9.358996998057567,3.1608687974571783,18.364824298075224,36.641356171640474,12.07840367296486,7.098710930602155,5.350520925304609,45.841426805580085,63.41161928306551
01022202,972,79,135,51,152,293,116,62,84,473,482,100.0,8.127572016460906,13.88888888888889,5.246913580246913,15.637860082304528,30.144032921810698,11.934156378600823,6.378600823045268,8.641975308641975,48.66255144032922,49.58847736625515
01022203,4057,354,517,173,547,1286,505,298,377,2004,2322,100.0,8.725659354202612,12.743406457973872,4.264234656149864,13.482869115109686,31.698299235888587,12.447621395119546,7.345329060882426,9.292580724673403,49.39610549667242,57.23440966231206
