id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
0110,61675,17825,2022,811,2594,1193,1627,2476,1279,967,400,1932,1921,320,550,9818,3977,3177,441,12789,3452,927,5844,573,1564,2109,2832,1896,100.0,28.901499797324686,3.2784758816376165,1.3149574381840292,4.205918119173084,1.9343331982164573,2.638021888933928,4.014592622618565,2.073773814349412,1.5678962302391568,0.6485610052695582,3.132549655451966,3.114714227807053,0.5188488042156466,0.8917713822456425,15.918929874341305,6.448317794892581,5.151195784353465,0.7150385083096878,20.736116740980947,5.597081475476287,1.503040129712201,9.475476286988245,0.9290636400486422,2.5358735306039724,3.419537900283746,4.591811917308472,3.0741791649777057
0120,47607,12991,1157,711,1470,506,806,2949,1508,877,621,948,2834,545,934,4607,1552,1773,206,16257,6461,731,6569,1674,1550,391,885,2656,100.0,27.28800386497784,2.4303148696620243,1.4934778498960237,3.0877812086457874,1.0628689058331757,1.6930283361690508,6.194467200201651,3.167601403154998,1.8421660680152079,1.3044300207952613,1.9913037998613647,5.952906085239565,1.1447896317768396,1.961896359779024,9.677148318524587,3.260024786270926,3.724242233285021,0.43270947549730077,34.148339529901065,13.571533598000293,1.5354884785850822,13.798390992921208,3.5162896212741823,3.255823723402021,0.8213077908710904,1.8589703194908311,5.5790114899069465
0130,50713,11061,659,857,1033,344,534,2636,1962,1003,535,558,3292,845,988,3469,1240,1084,347,24625,13620,284,7863,2301,1793,242,591,4001,100.0,21.810975489519453,1.2994695640171159,1.68990199751543,2.036953049513931,0.6783270561788891,1.0529844418590895,5.1978782560684635,3.8688304773923847,1.977796620196005,1.0549563228363537,1.1003095853134306,6.491432177153787,1.6662394257882593,1.9482184055370415,6.840455110129552,2.445132411807623,2.1375189793544065,0.6842426991106817,48.557569065131226,26.85701891033857,0.5600141975430363,15.504900124228502,4.537298128684952,3.5355825922347326,0.4771951964979394,1.1653816575631495,7.889495790034114
0140,59386,16369,1126,1075,1530,525,747,3813,3349,1265,689,768,3957,1029,1146,3618,1154,1318,201,24341,12189,449,8145,2048,1809,485,739,3832,100.0,27.563735560569828,1.8960697807564073,1.8101909540969252,2.5763647997844608,0.8840467450240798,1.257872225777119,6.420705216717745,5.639376283972653,2.1301316808675446,1.1602061091839828,1.2932340955780823,6.663186609638635,1.732731620247196,1.9297477519954198,6.092344997137372,1.9432189404910247,2.219378304650928,0.3384636109520763,40.987774896440236,20.525039571616205,0.756070454315832,13.715353787087867,3.4486242548748867,3.046172498568686,0.8166908025460545,1.2444010372815142,6.452699289394808
0210,28193,4359,332,324,584,192,277,872,643,202,184,297,934,344,220,1835,648,605,111,15163,9901,289,4061,1284,841,196,305,3421,100.0,15.461284716064272,1.1775972759195545,1.1492214379455892,2.071436172099457,0.681020111375164,0.9825133898485441,3.0929663391622033,2.28070797715745,0.7164899088426205,0.6526442734011989,1.0534529847834568,3.3128790834604334,1.2201610328805024,0.7803355442840421,6.50870783527826,2.2984428758911783,2.1459227467811157,0.39371475188876676,53.782853899904225,35.11864647252864,1.0250771468094917,14.40428475153407,4.554321994821409,2.9830099670130883,0.6952080303621466,1.081828822757422,12.134217713616856
0220,29241,9543,1348,528,1673,558,788,1275,498,376,437,1159,1242,242,335,1666,485,751,71,8565,4816,316,2630,837,542,86,1373,1675,100.0,32.63568277418693,4.6099654594576105,1.805683800143634,5.721418556136931,1.9082794706063406,2.69484627748709,4.360315994665025,1.7030881296809277,1.2858657364659212,1.4944769330734242,3.9636127355425597,4.247460757156047,0.8276050750658323,1.1456516535002224,5.6974795663623,1.6586300058137544,2.568311617249752,0.24280975342840533,29.2910639171027,16.47002496494648,1.0806743955405083,8.994220443897268,2.862419205909511,1.8535617796928967,0.29410758865975856,4.695461851509866,5.728258267501111
0230,25489,6329,958,360,1072,426,618,677,419,166,166,833,649,186,143,898,213,377,47,11359,9010,183,1568,337,375,57,794,2045,100.0,24.830318961120483,3.7584840519439755,1.4123739652399074,4.20573580760328,1.6713091922005572,2.4245753069951745,2.656047706853937,1.6438463650986699,0.6512613284161796,0.6512613284161796,3.2680764251245638,2.5461963984463885,0.7297265487072855,0.5610263250814077,3.5230883910706576,0.8356545961002786,1.4790694024873474,0.18439326768409903,44.564321864333635,35.348581741143235,0.7179567656636197,6.151673270822708,1.3221389619051356,1.4712228804582368,0.22362587782965201,3.115069245556907,8.023068774765585
0240,20839,6158,627,231,857,293,560,967,455,442,165,533,942,181,249,2966,1081,987,203,4448,1000,206,2031,120,792,1759,554,703,100.0,29.550362301454,3.0087816114016985,1.1084984884111522,4.1124814050578244,1.4060175632228034,2.6872690628149143,4.640337828110754,2.1834061135371177,2.1210230817217717,0.7917846345793945,2.5577043044291954,4.520370459235088,0.8685637506598206,1.1948749940016317,14.232928643408993,5.18738903018379,4.736311723211287,0.9741350352704065,21.344594270358463,4.798694755026633,0.9885311195354863,9.74614904745909,0.5758433706031959,3.8005662459810927,8.440904074091847,2.6584768942847545,3.373482412783723
0250,33859,13338,1803,532,2310,739,1462,1738,587,582,234,1445,1295,353,348,3587,1302,1224,275,5056,1100,270,2347,167,911,1083,1550,759,100.0,39.39277592368351,5.325024365752089,1.5712218317138722,6.822410585073392,2.182580702324345,4.317906612717446,5.13305177353141,1.7336601789775246,1.7188930564990106,0.6911013319944476,4.267698396290498,3.8246847219350837,1.0425588469830769,1.0277917245045631,10.593933666085826,3.845358693405003,3.6149915827401875,0.812191736318261,14.93251425027319,3.248766945273044,0.7974246138397472,6.931687291414396,0.4932218907823621,2.6905697155852213,3.1985587288460975,4.57780796833929,2.2416491922384
0310,4075,895,21,27,34,31,29,372,129,59,20,18,192,54,46,1080,253,209,61,1456,138,78,665,21,274,191,31,46,100.0,21.96319018404908,0.5153374233128835,0.6625766871165644,0.8343558282208589,0.7607361963190183,0.7116564417177914,9.128834355828221,3.165644171779141,1.4478527607361962,0.49079754601227,0.44171779141104295,4.711656441717792,1.3251533742331287,1.1288343558282208,26.50306748466258,6.208588957055214,5.128834355828221,1.4969325153374233,35.73006134969325,3.3865030674846626,1.9141104294478528,16.319018404907975,0.5153374233128835,6.7239263803680975,4.6871165644171775,0.7607361963190183,1.1288343558282208
0320,8595,2933,204,162,253,130,123,954,239,224,76,145,367,100,87,1761,567,560,198,1916,409,94,791,61,336,136,264,256,100.0,34.124490983129725,2.3734729493891797,1.8848167539267016,2.943571844095404,1.5125072716695753,1.4310645724258289,11.099476439790577,2.7806864456079117,2.6061663757998836,0.8842350203606748,1.6870273414776031,4.269924374636417,1.1634671320535195,1.0122164048865618,20.48865619546248,6.596858638743456,6.515415939499709,2.3036649214659684,22.292030250145434,4.758580570098895,1.0936591041303083,9.20302501454334,0.7097149505526469,3.909249563699826,1.5823152995927865,3.0715532286212914,2.97847585805701
0330,6459,1711,74,62,82,106,55,592,163,212,33,55,353,58,159,1654,441,495,222,1930,213,84,817,38,374,144,61,127,100.0,26.490168756773496,1.1456881870258555,0.959900913454095,1.269546369407029,1.6411209165505498,0.8515250038705682,9.165505496206844,2.5236104660164114,3.2822418331010996,0.5109150023223409,0.8515250038705682,5.465242297569283,0.8979718222635084,2.4616813748258246,25.607679207307633,6.827682303762192,7.663725034835115,3.4370645610775665,29.88078649945812,3.297724105898746,1.3005109150023224,12.649016875677349,0.5883263663105743,5.790370026319864,2.2294472828611243,0.9444186406564483,1.96624864530113
0340,19785,6810,558,206,742,340,403,1883,475,372,188,498,850,160,252,3292,1023,1093,254,4441,1062,286,1613,151,508,316,521,560,100.0,34.420015163002276,2.820318423047764,1.04119282284559,3.7503158958807172,1.718473591104372,2.0368966388678293,9.51731109426333,2.4008086934546373,1.880212282031842,0.950214809198888,2.5170583775587567,4.29618397776093,0.8086934546373514,1.2736921910538288,16.63886782916351,5.170583775587566,5.524387161991408,1.2838008592367955,22.446297700277988,5.367702805155421,1.4455395501642658,8.1526408895628,0.7632044478140005,2.567601718473591,1.5971695729087694,2.633308061662876,2.8304270912307303
