id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01,204267,16482,20928,6195,29595,76876,25110,15210,13871,96724,131070,100.0,8.068851062579858,10.245414090381706,3.032795312018094,14.488390195185714,37.63505607856384,12.292734509245253,7.446136674058952,6.790622077966583,47.35175040510704,64.16601800584529
02,126654,9764,11795,3630,17283,52616,14920,8370,8276,61048,78890,100.0,7.709191971828762,9.312773382601417,2.86607608129234,13.64583826803733,41.54310167858891,11.780125380959149,6.608555592401346,6.534337644290746,48.20060953463767,62.28780772814123
03,88243,9413,9758,2269,10724,38149,9299,4160,4471,43751,56249,100.0,10.66713507020387,11.058100925852475,2.571308772367213,12.152805321668575,43.23175775982231,10.537946352685198,4.714254955067258,5.066690842333102,49.58013666806432,63.74329975182167
04,142723,10026,13285,3936,15935,46275,20346,15401,17519,71154,85244,100.0,7.024796283710404,9.308240437771067,2.7577895644009724,11.164983919900786,32.42294514549162,14.25558599524954,10.790832591803703,12.274826061671911,49.854613482059655,59.72688354364748
05,88611,8767,12107,3561,9997,26163,11793,8340,7883,43457,47504,100.0,9.893805509473994,13.663089232713771,4.01868842468768,11.28189502431978,29.525679656024646,13.308731421606797,9.411924027490944,8.896186703682387,49.04244394036858,53.60959700262947
06,84995,7047,10476,3078,10097,24245,11810,8701,9541,43334,44797,100.0,8.291075945643861,12.325430907700454,3.6213894934996174,11.879522324842638,28.525207365139128,13.894934996176245,10.23707276898641,11.225366198011647,50.98417553973763,52.70545326195658
07,131439,11082,14749,4431,15034,42105,18094,12932,13012,64477,71547,100.0,8.43128751740351,11.221174841561485,3.3711455504074133,11.438005462610032,32.03387122543538,13.766081604394435,9.838784531227414,9.899649266960338,49.054694573148,54.43361559354529
08,152870,13521,18368,5553,17861,53499,19680,12627,11761,73901,84710,100.0,8.84477006606921,12.015437953816969,3.63249820108589,11.683783606986328,34.99640217177994,12.873683521946752,8.259959442663702,7.693465035651206,48.34238241643226,55.413096094721006
09,41865,4635,4644,1229,6221,14972,4341,2404,3419,20092,25251,100.0,11.07130060910068,11.092798280186313,2.935626418249134,14.859667980413233,35.762570166009795,10.36904335363669,5.742266809984474,8.166726382419682,47.992356383614,60.31529917592261
10,52508,6019,7185,1941,6560,16331,5441,4358,4673,25535,28322,100.0,11.463015159594729,13.683629161270664,3.696579568827607,12.493334349051572,31.101927325359945,10.362230517254515,8.299687666641274,8.899596251999695,48.63068484802316,53.938447474670525
11,74615,8184,8713,2316,12323,26115,7249,5143,4572,35366,47671,100.0,10.968303960329692,11.677276686993231,3.1039335254305436,16.51544595590699,34.999664946726526,9.71520471755009,6.8927159418347514,6.127454265228172,47.397976278228235,63.88929839844535
12,88180,8930,12115,3638,10401,26195,11792,7944,7165,42947,47217,100.0,10.12701292810161,13.738943070991155,4.125652075300522,11.795191653436152,29.70628260376503,13.372646858698117,9.008845543207077,8.12542526650034,48.703787706963034,53.54615559083692
