id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
010111,9024,2615,338,160,277,100,204,145,517,155,160,90,378,86,122,1252,530,264,86,2992,867,176,1479,263,271,75,189,442,100.0,28.97828014184397,3.745567375886525,1.773049645390071,3.06959219858156,1.1081560283687943,2.2606382978723407,1.6068262411347518,5.729166666666666,1.717641843971631,1.773049645390071,0.9973404255319149,4.1888297872340425,0.9530141843971631,1.3519503546099292,13.874113475177305,5.87322695035461,2.925531914893617,0.9530141843971631,33.156028368794324,9.607712765957446,1.950354609929078,16.38962765957447,2.914450354609929,3.0031028368794326,0.8311170212765957,2.0944148936170213,4.898049645390071
010112,6486,2064,174,89,164,111,133,136,255,344,131,34,188,23,82,1445,775,276,46,1268,272,75,680,59,160,222,221,174,100.0,31.822386679000925,2.682701202590194,1.3721862473018809,2.5285229725562752,1.7113783533765032,2.0505704594511256,2.0968239284613013,3.9315448658649403,5.303731113166821,2.0197348134443414,0.5242059821153253,2.898550724637681,0.3546099290780142,1.2642614862781376,22.27875423990133,11.948812827628739,4.25531914893617,0.7092198581560284,19.549799568300955,4.193647856922603,1.1563367252543941,10.484119642306506,0.9096515572001234,2.466851680542707,3.4227567067530065,3.4073388837496146,2.682701202590194
010113,24317,8657,983,279,994,520,770,779,1161,481,345,178,867,114,200,2779,1271,490,177,4503,1460,241,1833,100,549,1352,1329,711,100.0,35.600608627709015,4.042439445655303,1.147345478471851,4.0876752888925445,2.138421680305959,3.1665090266069007,3.2035201710737344,4.774437636221574,1.9780400542830119,1.4187605378952997,0.7319981905662705,3.565406916971666,0.46880782991322945,0.8224698770407534,11.428218941481267,5.226796068593988,2.0150511987498456,0.7278858411810667,18.51790928157256,6.0040301023975,0.9910762018341078,7.537936423078505,0.4112349385203767,2.257679812476868,5.559896368795493,5.465312332935806,2.9238804128798783
010114,13285,6289,852,281,811,440,525,640,621,219,221,104,328,44,79,1254,578,229,42,1807,349,140,824,52,211,159,959,238,100.0,47.339104252916826,6.413248024087316,2.1151674821226947,6.104629281144148,3.3120060218291307,3.9518253669552124,4.817463304478736,4.674444862627023,1.6484757245013173,1.6635302973278132,0.7828377869777945,2.468949943545352,0.3312006021829131,0.5946556266465939,9.439217162213023,4.350771546857358,1.7237485886337975,0.316146029356417,13.601806548739178,2.6270229582235602,1.0538200978547234,6.202484004516371,0.39141889348889725,1.588257433195333,1.1968385397064358,7.218667670304855,1.7914941663530297
010221,23140,7929,590,415,805,268,398,377,1934,927,581,388,1697,293,619,1453,517,364,72,8123,3106,299,3537,1088,709,203,419,1200,100.0,34.26534140017286,2.549697493517718,1.79343128781331,3.4788245462402765,1.1581676750216077,1.7199654278305962,1.6292134831460674,8.357821953327571,4.006050129645635,2.5108038029386344,1.676750216076059,7.33362143474503,1.2662057044079515,2.6750216076058773,6.279170267934313,2.2342264477095934,1.5730337078651686,0.3111495246326707,35.103716508210894,13.422644770959376,1.292134831460674,15.285220397579948,4.701815038893691,3.0639585133967158,0.8772687986171133,1.8107173725151253,5.185825410544512
010222,20201,6166,546,293,649,250,369,325,1411,487,435,239,1152,227,349,1860,755,412,121,7252,3342,249,2741,677,658,146,396,1331,100.0,30.5232414236919,2.7028364932429088,1.450423246373942,3.2127122419682195,1.2375624969060937,1.8266422454333944,1.608831245977922,6.984802732537994,2.4107717439730707,2.153358744616603,1.1831097470422256,5.70268798574328,1.1237067471907332,1.7276372456809068,9.207464976981337,3.7374387406564034,2.0395029949012424,0.5989802485025494,35.89921291025197,16.54373545864066,1.2326122469184695,13.568635216078412,3.3513192416217015,3.2572644918568385,0.7227364981931588,1.9602989950992527,6.588782733528044
010331,24662,7172,326,693,521,183,228,239,1543,1639,697,276,2031,488,783,1090,461,167,87,11435,6567,94,3395,894,759,102,231,1529,100.0,29.081177520071368,1.3218717054577893,2.8099910793933986,2.112561836023031,0.7420322763766118,0.9244992295839755,0.9691022625902197,6.2565890844213765,6.645851917930419,2.826210364122942,1.1191306463384965,8.235341821425674,1.978752737004298,3.174924985808126,4.419755088800584,1.86927256507988,0.677155137458438,0.3527694428675695,46.366880220582274,26.628010704727924,0.38115319114427054,13.766117914199985,3.6250101370529557,3.077609277430865,0.41359176060335745,0.936663693131133,6.199821587867975
010332,24712,5197,337,210,528,153,291,209,1462,506,371,292,1473,337,402,1635,686,314,228,12901,7772,104,3814,1394,700,125,287,2137,100.0,21.030268695370673,1.363709938491421,0.8497895759145354,2.136613790870832,0.6191324053091615,1.1775655551958564,0.845742958886371,5.916154095176433,2.047588216251214,1.5012949174490127,1.1816121722240207,5.960666882486241,1.363709938491421,1.6267400453221108,6.616218841048884,2.775979281320816,1.2706377468436387,0.9226286824214956,52.20540628034963,31.45030754289414,0.4208481709291033,15.433797345419228,5.64098413726125,2.832631919715118,0.5058271285205568,1.1613790870831986,8.64762058918744
010441,21829,7310,514,364,657,191,249,252,2153,1242,379,376,1707,363,453,1143,472,200,76,8474,4505,183,2636,489,692,174,277,1411,100.0,33.48756241696825,2.354665811535114,1.6675065280131935,3.0097576618260113,0.874982821017912,1.1406844106463878,1.1544275963168262,9.86302624948463,5.689678867561501,1.7362224563653856,1.722479270694947,7.819872646479455,1.6629254661230473,2.0752210362361994,5.236153740437033,2.162261212148976,0.9162123780292272,0.3481607036511063,38.81991845709835,20.637683815108343,0.8383343258967428,12.075679142425214,2.2401392642814604,3.1700948279811256,0.7971047688854276,1.2689541435704796,6.4638783269961975
010442,36611,11045,696,740,877,301,455,435,2483,2216,981,335,2384,668,852,1588,628,271,125,16045,8586,224,5257,1569,974,231,427,2118,100.0,30.168528584305264,1.901067985031821,2.021250443855672,2.3954549179208433,0.8221572751358881,1.2427958810193658,1.188167490644888,6.782114664991395,6.05282565349212,2.6795225478681273,0.9150255387725001,6.511704132637732,1.8245882385075525,2.3271694299527463,4.337494195733522,1.7153314577585972,0.7402146895741717,0.34142743984048507,43.82562617792466,23.45196798776324,0.6118379721941493,14.359072409931443,4.285597224877769,2.66040261123706,0.6309579088252164,1.166316134495097,5.78514654065718
