id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01011101,2054,154,114,35,381,816,197,171,186,991,1417,100.0,7.497565725413827,5.550146056475171,1.7039922103213243,18.549172346640702,39.727361246348586,9.591041869522881,8.325219084712755,9.055501460564752,48.24732229795521,68.9873417721519
01011102,76,3,0,3,12,37,18,0,3,21,67,100.0,3.9473684210526314,0.0,3.9473684210526314,15.789473684210526,48.68421052631579,23.684210526315788,0.0,3.9473684210526314,27.631578947368425,88.1578947368421
01011103,2885,189,272,96,361,946,340,346,335,1368,1751,100.0,6.551126516464471,9.428076256499134,3.3275563258232235,12.512998266897746,32.79029462738301,11.785095320623917,11.993067590987868,11.611785095320624,47.41767764298094,60.69324090121317
01011104,3110,182,324,118,617,1113,341,227,188,1413,1901,100.0,5.852090032154341,10.418006430868166,3.7942122186495175,19.839228295819936,35.78778135048232,10.964630225080386,7.29903536977492,6.045016077170418,45.434083601286176,61.12540192926045
01011105,899,71,72,12,98,352,140,84,70,426,654,100.0,7.897664071190211,8.008898776418242,1.3348164627363739,10.901001112347053,39.15461624026697,15.572858731924361,9.343715239154617,7.786429365962181,47.38598442714127,72.74749721913237
01011201,1438,105,126,43,220,518,156,147,123,671,986,100.0,7.3018080667593885,8.762169680111267,2.9902642559109873,15.299026425591098,36.02225312934632,10.848400556328233,10.222531293463142,8.55354659248957,46.66203059805285,68.56745479833101
01011202,303,21,24,18,21,143,40,18,18,149,231,100.0,6.9306930693069315,7.920792079207921,5.9405940594059405,6.9306930693069315,47.194719471947195,13.2013201320132,5.9405940594059405,5.9405940594059405,49.17491749174918,76.23762376237624
01011203,593,44,44,9,57,248,95,54,42,284,408,100.0,7.419898819561552,7.419898819561552,1.5177065767284992,9.612141652613827,41.8212478920742,16.020236087689714,9.106239460370995,7.082630691399664,47.89207419898819,68.8026981450253
01011204,4152,363,351,75,486,1733,510,333,301,2093,2757,100.0,8.742774566473988,8.453757225433527,1.8063583815028903,11.705202312138727,41.738921001926784,12.283236994219653,8.020231213872831,7.249518304431598,50.40944123314065,66.40173410404624
01011301,2964,251,190,47,316,1557,342,139,122,1439,2113,100.0,8.468286099865047,6.41025641025641,1.5856950067476383,10.6612685560054,52.53036437246964,11.538461538461538,4.6896086369770575,4.116059379217274,48.549257759784076,71.28879892037787
01011302,5040,373,464,119,558,2412,684,248,182,2466,3429,100.0,7.400793650793651,9.206349206349207,2.361111111111111,11.071428571428571,47.85714285714286,13.571428571428571,4.920634920634921,3.6111111111111107,48.92857142857142,68.03571428571429
