id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
0110,65633,4683,5821,1625,8053,29569,7704,4503,3675,32298,44617,100.0,7.135130193652584,8.869014063047551,2.4758886535736595,12.26974235521765,45.052031752319714,11.737997653619368,6.860877912025963,5.5993174165435065,49.21000106653665,67.97952249630521
0120,49650,3223,4391,1407,6442,19861,5835,4310,4181,23541,32062,100.0,6.491440080563948,8.84390735146022,2.8338368580060425,12.974823766364551,40.002014098690836,11.75226586102719,8.680765357502517,8.420946626384692,47.413897280966765,64.57603222557906
0130,51574,3729,6361,2217,6753,16854,6762,4810,4088,24800,30877,100.0,7.230387404506146,12.333734052041727,4.298677628262302,13.093806956993834,32.67925698995618,13.111257610423857,9.326404777601118,7.926474580214837,48.086245007174156,59.86931399542406
0140,61584,4040,5802,2016,8425,22660,7641,5987,5013,29031,40252,100.0,6.560145492335671,9.421278254091972,3.2735775526110675,13.680501428942582,36.79527149909067,12.407443491816055,9.721680956092491,8.140101325019486,47.140491036632895,65.3611327617563
0210,29197,1927,3250,1287,3336,9431,4163,3204,2599,14338,15874,100.0,6.599993149981162,11.131280611021682,4.407987121964585,11.425831421036408,32.30126382847553,14.258314210364079,10.973730177757988,8.901599479398568,49.10778504640888,54.36859951364866
0220,29825,1956,2616,986,3205,11850,4095,2712,2405,14490,17988,100.0,6.558256496227996,8.77116512992456,3.3059513830678964,10.746018440905281,39.73176865046103,13.730092204526404,9.093042749371333,8.063704945515507,48.58340318524728,60.31181894383906
0230,25032,1244,1980,807,2485,9506,3977,2556,2477,11982,15420,100.0,4.969638862256312,7.9098753595397895,3.2238734419942476,9.927293064876958,37.975391498881436,15.887663790348356,10.210930009587727,9.89533397251518,47.86673058485139,61.60115052732502
0240,23223,1912,2077,561,3266,10993,2114,1266,1034,11346,15567,100.0,8.23321706928476,8.943719588339146,2.4157085647849117,14.06364380140378,47.33669207251432,9.103044395642252,5.451492055290014,4.452482452740817,48.856736855703396,67.0326831158765
0250,36351,2739,2748,668,4035,20475,3380,1459,847,17502,25376,100.0,7.534868366757448,7.5596269703722045,1.837638579406344,11.10010728728233,56.32582322357019,9.298231135319524,4.013644741547688,2.330059695744271,48.14723116282909,69.8082583697835
0310,4925,541,633,166,740,1829,484,276,256,2155,3803,100.0,10.984771573604062,12.85279187817259,3.3705583756345177,15.025380710659899,37.13705583756345,9.827411167512691,5.604060913705584,5.197969543147208,43.756345177664976,77.21827411167513
