id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
0101,39863,3372,3537,855,5989,17487,4548,2454,1621,19436,26750,100.0,8.45897197902817,8.872889647041116,2.144846097885257,15.023957052906203,43.86774703359004,11.409076085593156,6.15608458971979,4.06642751423626,48.75699269999749,67.10483405664401
0102,37562,3015,3815,1272,5881,13152,4771,3072,2584,17889,23038,100.0,8.026729141153293,10.156541185240403,3.3864011500985036,15.656780789095363,35.01411000479207,12.701666577924497,8.1784782492945,6.879292902401363,47.62525957084287,61.33326233959853
0103,44329,4486,6045,1948,6515,14033,5562,3059,2681,21031,25843,100.0,10.119786144510366,13.636671253581179,4.39441449164204,14.696925263371607,31.6564777008279,12.547091069051863,6.900674502018994,6.047959574996052,47.44298314872882,58.298179521306594
0104,52055,4292,5643,1794,8361,18003,6890,3902,3170,24065,33607,100.0,8.245125348189415,10.840457208721546,3.446354817020459,16.061857650561905,34.584574008260496,13.23600038420901,7.495917779271924,6.089712803765248,46.229949092306214,64.56056094515417
0201,26746,2416,3704,1181,3760,8385,3583,1900,1817,13073,13475,100.0,9.033126448814777,13.84879982053391,4.415613549689673,14.058176923652136,31.350482315112536,13.396395722724893,7.103865998654005,6.793539220818066,48.87833694758095,50.38136543782248
0202,25181,1942,2428,876,3325,9916,3269,1835,1590,12256,15531,100.0,7.71216393312418,9.642190540486876,3.4788133910488064,13.204400142964934,39.37889678726024,12.98201024582026,7.287240379651324,6.314284579643383,48.671617489376914,61.67745522417696
0203,25173,1614,2489,906,3272,9740,3290,1702,2160,12174,16088,100.0,6.411631509951138,9.887577960513248,3.599094267667739,12.998053469987687,38.692249632542804,13.069558654113534,6.7612124101219555,8.580622095101894,48.36133953044929,63.90974456759226
0204,11738,1098,1155,268,2126,5048,1144,628,271,5728,7717,100.0,9.354234111432953,9.839836428693133,2.283182825012779,18.112114499914806,43.00562276367354,9.746123700800819,5.350144828761287,2.308740841710683,48.7987732151985,65.74373828590902
0205,19341,1507,1283,270,3494,10307,1522,673,285,9163,13601,100.0,7.7917377591644685,6.633576340416732,1.3959981386691485,18.065249987074093,53.290936352825604,7.869293211312756,3.4796546197197666,1.4735535908174344,47.37604053564966,70.32211364458921
0301,1839,222,216,41,312,680,179,118,71,793,1294,100.0,12.071778140293638,11.745513866231647,2.2294725394236,16.965742251223492,36.976617727025555,9.733550842849374,6.416530723219141,3.860793909733551,43.121261555193044,70.36432843936922
