id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01100101,3475,146,193,58,412,1193,389,380,704,1656,1483,100.0,4.201438848920863,5.553956834532374,1.669064748201439,11.856115107913668,34.330935251798564,11.194244604316546,10.93525179856115,20.258992805755398,47.65467625899281,42.67625899280576
01100102,2066,98,139,28,184,788,268,266,295,961,1087,100.0,4.743465634075508,6.727976766698935,1.3552758954501452,8.906098741529526,38.14133591481123,12.971926427879962,12.87512100677638,14.278799612778315,46.515004840271054,52.61374636979671
01100103,5755,256,367,125,619,2000,641,705,1042,2706,2148,100.0,4.448305821025196,6.377063423110339,2.172024326672459,10.755864465682016,34.75238922675934,11.138140747176369,12.250217202432667,18.105994787141615,47.01998262380538,37.32406602953953
01100104,4968,280,365,130,708,1811,600,580,494,2353,2007,100.0,5.636070853462158,7.347020933977455,2.6167471819645733,14.251207729468598,36.453301127214175,12.077294685990339,11.674718196457327,9.943639291465377,47.36312399355877,40.39855072463768
01100205,2937,118,158,58,352,1111,329,333,478,1399,1521,100.0,4.017705141300647,5.3796390875042555,1.974804221995233,11.985018726591761,37.82771535580524,11.201906707524685,11.338100102145047,16.27511065713313,47.633639768471234,51.787538304392235
01100206,1902,91,120,39,193,663,245,265,286,912,660,100.0,4.784437434279706,6.309148264984227,2.050473186119874,10.147213459516298,34.85804416403786,12.88117770767613,13.932702418506834,15.036803364879075,47.94952681388013,34.70031545741325
01100207,8860,431,566,130,732,3322,1000,1038,1641,4381,3206,100.0,4.864559819413093,6.388261851015802,1.4672686230248306,8.261851015801353,37.49435665914221,11.286681715575622,11.715575620767495,18.521444695259593,49.44695259593679,36.185101580135445
01100308,7335,379,451,134,668,3084,1059,777,783,3591,2441,100.0,5.167007498295842,6.148602590320381,1.8268575323790048,9.107021131561009,42.04498977505112,14.43762781186094,10.593047034764826,10.67484662576687,48.95705521472393,33.27880027266531
01100309,12645,572,863,340,1234,4442,2057,1855,1282,6216,3576,100.0,4.523527085804665,6.82483194938711,2.6888098062475287,9.758797943851324,35.12850929221036,16.26729932779755,14.669829972321075,10.138394622380389,49.15776986951364,28.27995255041518
01100310,10195,433,604,175,1070,4075,1220,1128,1490,4850,3859,100.0,4.24717999019127,5.92447278077489,1.716527709661599,10.49534085335949,39.97057381069152,11.966650318783717,11.064247179990192,14.615007356547327,47.572339382050025,37.85188818048063
01100311,9852,466,723,220,1306,2979,966,962,2230,5057,3478,100.0,4.730004060089322,7.3386114494518875,2.2330491270807955,13.256191636215997,30.23751522533496,9.805115712545675,9.764514819326026,22.63499796995534,51.32967925294356,35.3024766544864
01100312,10722,581,702,179,968,4106,1197,1150,1839,5308,3705,100.0,5.4187651557545236,6.547285954113039,1.6694646521171423,9.028166386868122,38.2950941988435,11.163961947397874,10.72561089349002,17.15165081141578,49.505689237082635,34.555120313374374
01100313,11616,577,721,168,1584,4231,1306,1286,1743,5682,4157,100.0,4.96728650137741,6.2069559228650135,1.4462809917355373,13.636363636363635,36.423898071625345,11.243112947658403,11.070936639118457,15.005165289256198,48.91528925619835,35.78684573002755
01100414,5519,438,486,97,473,2753,654,375,243,2671,2357,100.0,7.936220329769886,8.805943105635079,1.7575647762275775,8.57039318717159,49.882225040768255,11.849972821163254,6.794709186446821,4.402971552817539,48.39644863199855,42.70701213988041
01100415,13436,635,1014,381,1484,5061,2143,1730,988,6694,4167,100.0,4.726108961000298,7.546888955046145,2.8356653766001787,11.04495385531408,37.667460553736234,15.949687406966358,12.875855909496876,7.353378981839834,49.821375409348015,31.013694551949982
01100416,13687,772,1058,375,1175,5313,2366,1606,1022,6846,3959,100.0,5.640388689997808,7.729962738364872,2.7398261123694017,8.584788485424125,38.81785636004968,17.286476218309343,11.733761963907357,7.4669394315774085,50.01826550741579,28.925257543654563
01200517,3906,167,264,94,596,1598,410,404,373,1712,1743,100.0,4.27547363031234,6.7588325652841785,2.406554019457245,15.25857654889913,40.91141833077317,10.496671786994368,10.343061955965181,9.549411162314387,43.830005120327705,44.623655913978496
01200518,7086,367,442,127,1153,2881,738,697,681,3286,3301,100.0,5.179226644086931,6.237651707592436,1.7922664408693199,16.27152130962461,40.65763477279142,10.414902624894157,9.83629692351115,9.610499576629975,46.37313011572114,46.58481512842224
01200519,9554,408,609,233,1201,3920,1075,979,1129,4466,3797,100.0,4.270462633451958,6.374293489637848,2.4387691019468285,12.570651036215196,41.029935105714884,11.251831693531505,10.247016956248691,11.817039983253087,46.744818924010886,39.74251622357128
01200520,9523,422,540,188,1165,3660,1088,1152,1308,4589,3006,100.0,4.431376667016696,5.6704819909692326,1.9741678042633624,12.233539850887325,38.43326682768035,11.424971122545417,12.09702824740103,13.735167489236586,48.18859603066261,31.565683083062062
01200521,5238,240,381,132,654,2052,550,548,681,2400,2098,100.0,4.581901489117984,7.2737686139748,2.520045819014891,12.485681557846506,39.175257731958766,10.500190912562047,10.46200840015273,13.001145475372281,45.81901489117984,40.053455517373045
01200522,11462,504,700,224,1182,3635,1338,1609,2270,5804,2573,100.0,4.397138370266969,6.10713662537079,1.954283720118653,10.31233641598325,31.713488047461176,11.673355435351597,14.037689757459432,19.804571627988135,50.63688710521724,22.448089338684348
01200623,11036,552,733,245,1337,4527,1311,1221,1110,5228,3681,100.0,5.0018122508155125,6.641899238854658,2.220007249003262,12.114896701703517,41.020297209133744,11.879304095686843,11.063791228706053,10.05799202609641,47.37223631750634,33.354476259514314
01200624,7209,602,471,116,923,3794,624,373,306,3354,3770,100.0,8.350672770148426,6.533499791926759,1.6090997364405606,12.803440144264114,52.628658621167986,8.65584685809405,5.174087945623526,4.2446941323345815,46.52517686225551,52.29574143431821
01200625,6891,324,587,196,849,2339,781,764,1051,3402,2411,100.0,4.7017849368741835,8.518357277608475,2.844289653170802,12.320417936438833,33.9428239732985,11.333623566971413,11.086924974604557,15.251777681033232,49.36874183717893,34.98766507038166
01200626,6012,249,356,91,596,2171,708,791,1050,2949,1718,100.0,4.141716566866267,5.921490352628077,1.513639387890885,9.91350632069195,36.11111111111111,11.776447105788424,13.157019294743847,17.465069860279442,49.05189620758483,28.576180971390553
01200627,3332,201,392,136,418,846,389,382,568,1672,1134,100.0,6.032412965186074,11.76470588235294,4.081632653061225,12.545018007202883,25.390156062424968,11.674669867947179,11.464585834333734,17.046818727490997,50.18007202881153,34.03361344537815
01200628,3292,175,182,70,310,1164,434,463,494,1586,876,100.0,5.3159173754556495,5.528554070473876,2.12636695018226,9.416767922235723,35.358444714459296,13.183475091130012,14.064398541919806,15.006075334143379,48.17739975698663,26.609963547995143
01200629,5973,190,280,88,874,2019,567,740,1215,2887,2047,100.0,3.1809810815335675,4.687761593838942,1.4732965009208103,14.632512975054413,33.80210949271722,9.492717227523856,12.389084212288633,20.341536916122553,48.33417043361795,34.27088565210112
01300730,8079,479,747,310,1234,2710,980,775,844,3761,3947,100.0,5.9289516029211535,9.246193835870777,3.8371085530387425,15.27416759499938,33.54375541527417,12.1302141354128,9.592771382596856,10.446837479886124,46.5527911870281,48.85505631885134
01300731,8920,498,716,251,1330,3178,973,955,1019,4212,3744,100.0,5.582959641255606,8.026905829596414,2.81390134529148,14.91031390134529,35.62780269058296,10.908071748878925,10.70627802690583,11.423766816143498,47.219730941704036,41.973094170403584
01300732,10046,603,955,287,1289,3582,1194,1057,1079,4849,4031,100.0,6.002389010551464,9.506271152697591,2.856858451124826,12.830977503483973,35.65598248058929,11.885327493529763,10.521600637069481,10.740593270953614,48.26796735018913,40.12542305395182
01300733,11692,590,1022,351,1531,4090,1524,1277,1307,5648,4592,100.0,5.046185425932261,8.741019500513172,3.0020526855969893,13.09442353746151,34.98118371536093,13.034553540882655,10.921997947314404,11.178583646938076,48.306534382483754,39.274717755730414
01300834,14283,868,1623,554,1682,4279,1832,1590,1855,7164,4432,100.0,6.077154659385283,11.36315900021004,3.8787369600224038,11.776237485122174,29.958692151508785,12.826437023034376,11.132115101869356,12.987467618847582,50.15752993068683,31.02989568017923
01300835,10800,536,942,322,1694,3073,1234,1233,1766,5451,3588,100.0,4.962962962962963,8.722222222222223,2.9814814814814814,15.685185185185185,28.453703703703702,11.425925925925926,11.416666666666666,16.35185185185185,50.47222222222222,33.22222222222222
01300836,15059,816,1313,428,2217,5381,1857,1474,1573,7094,6405,100.0,5.418686499767581,8.719038448768178,2.8421541935055448,14.72209310047148,35.73278438143303,12.331496115279899,9.788166544923302,10.445580715850985,47.1080417026363,42.53270469486686
01400937,11021,488,734,238,1300,3752,1239,1473,1797,5358,3793,100.0,4.427910352962526,6.660012703021505,2.159513655748117,11.795662825514926,34.044097631793846,11.24217403139461,13.365393339987296,16.305235459577172,48.61627801469921,34.416114690137015
01400938,9744,452,578,203,1229,3797,1113,1053,1319,4622,3484,100.0,4.638752052545156,5.931855500821018,2.083333333333333,12.61288998357964,38.96756978653531,11.422413793103448,10.806650246305418,13.536535303776684,47.43431855500821,35.75533661740558
01400939,6136,326,441,128,790,2343,695,635,778,2962,2527,100.0,5.3129074315514995,7.187092568448501,2.0860495436766624,12.874837027379401,38.184485006518905,11.326597131681877,10.348761408083442,12.679269882659714,48.27249022164277,41.18318122555411
01400940,7167,481,604,149,670,1947,719,982,1615,3732,1438,100.0,6.711315752755685,8.427514999302357,2.0789730710199525,9.348402399888377,27.16617831728757,10.032091530626483,13.70168829356774,22.533835635551835,52.07199665131854,20.064183061252965
01400941,3842,196,239,67,392,1013,355,438,1142,2028,1103,100.0,5.101509630400833,6.220718375845913,1.743883394065591,10.203019260801666,26.366475793857365,9.239979177511714,11.40031233732431,29.724102030192608,52.78500780843311,28.709005726184277
01400942,8633,411,490,165,1209,3465,1010,960,923,4175,3300,100.0,4.7608015753504,5.675894822193907,1.911270705432642,14.004401714351905,40.13668481408549,11.699293409011931,11.120120467971736,10.691532491601992,48.36094057685625,38.22541410865284
