id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01,224824,59135,5123,3400,6776,2568,3811,11952,8194,4100,2264,4204,12173,2786,3643,23234,8537,8099,1185,79318,35971,2556,28870,6698,6950,3279,5246,12358,100.0,26.30279685442835,2.278671316229584,1.5122940611322635,3.0139131053624166,1.1422268085257803,1.6951037255808987,5.316158417250827,3.644628687328755,1.8236487207771415,1.007009927765719,1.8699071273529517,5.414457531224424,1.2391915453866136,1.6203786072661281,10.334305945984415,3.7971924705547453,3.602373412091236,0.5270789595416859,35.28004127673202,15.999626374408427,1.136889300074725,12.841155748496602,2.9792193004305587,3.091306977902715,1.4584741842507918,2.333380777852898,5.496744119844856
02,140515,40005,5092,1999,6613,2191,3791,5583,2618,1692,1197,4099,5130,1343,1283,12162,3989,4569,724,44948,25641,1313,12733,2752,3610,3520,4931,8591,100.0,28.470270077927623,3.6238124043696405,1.4226239191545387,4.7062591182436035,1.5592641355015477,2.6979326050599584,3.973241290965377,1.8631462833149486,1.2041419065580186,0.8518663487883856,2.917126285449952,3.650855780521652,0.9557698466355905,0.9130697790271501,8.655303704230866,2.8388428281678113,3.2516101483827353,0.5152474824751806,31.988043981069637,18.247873892466995,0.9344198128313703,9.061666014304523,1.9585097676404655,2.569120734441163,2.5050706330285024,3.509233889620325,6.113938013735189
03,114400,39083,4142,1534,5332,2378,2955,7771,2380,2317,865,3694,4188,798,1274,19142,6271,6197,1283,22282,4292,1382,9206,624,3589,3057,4575,2379,100.0,34.16346153846154,3.6206293706293704,1.3409090909090908,4.660839160839161,2.0786713286713288,2.583041958041958,6.7928321678321675,2.0804195804195804,2.0253496503496504,0.7561188811188811,3.2290209790209787,3.6608391608391604,0.6975524475524475,1.1136363636363638,16.732517482517483,5.481643356643357,5.416958041958042,1.1215034965034965,19.477272727272727,3.751748251748252,1.2080419580419581,8.047202797202797,0.5454545454545455,3.137237762237762,2.672202797202797,3.999125874125874,2.0795454545454546
04,152226,41200,3397,2445,4697,2223,2191,10793,2482,3037,2305,2640,9408,1612,3113,26495,8293,10986,1069,38244,12801,4752,13406,2110,3469,1697,4532,8012,100.0,27.065021743985916,2.2315504578718484,1.6061645185447952,3.0855438624150935,1.4603287217689487,1.439307345657115,7.0901160117194175,1.6304704846741032,1.9950599766137191,1.5141959980555226,1.734263529226282,6.180284576879114,1.0589518216336236,2.044985744879324,17.405042502594824,5.447821002982408,7.2169011863939145,0.7022453457359452,25.123172125655273,8.409207362736982,3.1216743526073074,8.806642754851339,1.386096987374036,2.278848554123474,1.114789851930682,2.977152391838451,5.263227044000368
05,107746,28753,552,884,1706,676,592,12653,4003,2923,1746,1033,8828,1928,2951,16486,5350,5270,2604,41912,14632,2303,15018,2194,5515,1205,618,6628,100.0,26.68590945371522,0.5123160024502069,0.8204480908804039,1.5833534423551687,0.6274014812614853,0.5494403504538452,11.74335938225085,3.7152191264640915,2.7128617303658604,1.620477790358807,0.9587362871939561,8.193343604402948,1.7893935737753603,2.738848773968407,15.300800029699479,4.965381545486607,4.891132849479331,2.4167950550368458,38.898891838212094,13.580086499730848,2.1374343363094686,13.938336457965958,2.0362704879995546,5.118519481001615,1.1183709836096003,0.5735711766562099,6.151504464202848
06,97836,28868,1831,2111,2698,1725,1203,9330,1391,1720,1861,1912,6600,1342,1847,13977,4070,5646,776,24812,7767,2910,8511,1115,2797,848,4438,5078,100.0,29.506521116971257,1.8714992436322009,2.1576924649413307,2.75767611104297,1.7631546669937448,1.2296087329817245,9.53636698147921,1.4217670387178545,1.7580440737560816,1.902162803058179,1.9542908540823418,6.7459830737151965,1.3716832249887567,1.8878531419927225,14.28615233656323,4.160022895457704,5.770881883969091,0.793164070485302,25.36080788257901,7.938795535385748,2.974365264319882,8.699251809150006,1.1396622919988553,2.858865857148698,0.8667566131076495,4.536162557749704,5.190318492170571
07,143740,39818,2815,2475,4145,1659,1678,12925,2788,2612,2895,2262,10493,1883,3138,16597,5274,6242,1395,47847,22359,1987,16144,3836,5041,1124,3093,11506,100.0,27.70140531515236,1.9583971058856269,1.7218589119243077,2.8836788646166687,1.1541672464171422,1.167385557256157,8.991929873382496,1.939613190482816,1.81716989007931,2.0140531515235844,1.5736746904132464,7.29998608598859,1.310004174203423,2.1831083901488797,11.546542368164742,3.6691248086823434,4.3425629609016285,0.9705022958118826,33.28718519549186,15.555169055238624,1.3823570335327675,11.231390009739808,2.6687073883400583,3.507026575761792,0.7819674412133018,2.151801864477529,8.004730763879227
08,163493,41889,3047,2090,4663,1632,1989,12576,4238,3431,1818,2915,12723,1981,4601,8801,2398,3337,856,68506,36206,1146,24818,8862,4988,1025,2811,15212,100.0,25.62128042179176,1.863688353629819,1.2783421920204536,2.8521098762638157,0.9982078743432441,1.2165658468558287,7.692072443468528,2.5921599089869294,2.0985607946517586,1.1119742129632462,1.7829509520285274,7.781984549797238,1.211672671001205,2.8141877633904815,5.383105087067948,1.4667294624234677,2.0410659783599296,0.5235698164447408,41.90148813710678,22.145290624063417,0.7009474411748515,15.179854795006515,5.4204155529594535,3.0508951453579054,0.6269381563736673,1.7193396659184186,9.304373887567053
09,64580,19524,950,619,1689,742,899,5986,1810,2354,556,1016,4077,861,1358,11843,3535,4213,1195,18351,3850,828,8155,793,3314,1685,926,2024,100.0,30.23227005264788,1.4710436667698978,0.9585010839269125,2.615360792815113,1.148962527098173,1.392071848869619,9.269123567668009,2.8027253019510683,3.6450913595540415,0.8609476618148034,1.5732424899349646,6.31310003096934,1.333230102198823,2.1028182099721278,18.338494890058843,5.473830907401672,6.523691545370084,1.8504180860947663,28.41591824094147,5.961598017962218,1.28213069061629,12.627748528956333,1.2279343449984514,5.131619696500465,2.6091669247445033,1.4338804583462372,3.1340972437287085
10,73961,17316,212,466,563,285,343,5688,1794,4417,343,247,3665,660,1413,25279,9051,4910,5460,23377,1819,564,8477,247,4202,6392,233,1107,100.0,23.412338935384867,0.28663755222346915,0.6300617893213991,0.7612119901028921,0.3853382187909844,0.4637579264747637,7.6905396087127,2.4256026824948282,5.972066359297468,0.4637579264747637,0.3339597896188532,4.955314287259502,0.8923621908843851,1.9104663268479334,34.17882397479753,12.237530590446315,6.638633874609591,7.382269033679913,31.607198388339803,2.4594042806343883,0.7625640540284745,11.461445897162017,0.3339597896188532,5.681372615297251,8.64239261232271,0.31503089466069956,1.4967347656197185
