id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01100101,2426,125,194,28,364,1037,272,178,228,1186,1660,100.0,5.152514427040396,7.996702390766694,1.1541632316570487,15.004122011541632,42.745259686727124,11.211871393239901,7.337180544105523,9.398186314921682,48.88705688375927,68.42539159109646
01100102,1443,80,113,31,137,664,182,134,102,682,1118,100.0,5.544005544005544,7.830907830907831,2.148302148302148,9.494109494109495,46.015246015246014,12.612612612612612,9.286209286209287,7.0686070686070686,47.26264726264726,77.47747747747748
01100103,3517,236,265,81,457,1297,405,360,416,1715,2225,100.0,6.710264429911857,7.53483082172306,2.303099232300256,12.99402900199033,36.878021040659654,11.515496161501279,10.235996588001136,11.828262723912426,48.763150412283196,63.264145578618134
01100104,3326,194,310,112,508,1278,411,276,237,1575,2052,100.0,5.832832230907998,9.320505111244739,3.367408298256164,15.273601924233313,38.42453397474444,12.357185808779313,8.298256163559833,7.125676488274204,47.3541791942273,61.69573060733614
01100205,2012,108,144,54,297,872,246,146,145,945,1533,100.0,5.36779324055666,7.157057654075547,2.68389662027833,14.761431411530815,43.33996023856859,12.226640159045726,7.256461232604374,7.20675944333996,46.96819085487077,76.19284294234593
01100206,1051,72,98,31,92,444,170,100,44,534,734,100.0,6.850618458610846,9.324452901998097,2.949571836346337,8.753568030447195,42.24548049476689,16.175071360608946,9.514747859181732,4.186489058039962,50.808753568030454,69.8382492863939
01100207,5010,396,457,100,512,2214,549,387,395,2525,3343,100.0,7.904191616766468,9.121756487025948,1.996007984031936,10.219560878243513,44.19161676646707,10.958083832335328,7.724550898203593,7.884231536926148,50.399201596806385,66.72654690618762
01100308,3714,291,260,79,394,1910,435,183,162,1824,2652,100.0,7.835218093699516,7.000538502961766,2.127086698976844,10.608508346795906,51.42703284868067,11.712439418416801,4.92730210016155,4.361873990306947,49.11147011308562,71.40549273021001
01100309,5553,430,479,171,597,2461,807,400,208,2772,3632,100.0,7.743562038537727,8.625967945254818,3.079416531604538,10.750945434900053,44.31838645777057,14.532685035116153,7.203313524221142,3.7457230325949933,49.91896272285251,65.40608679992796
01100310,5464,366,437,120,687,2647,559,373,275,2601,3897,100.0,6.698389458272327,7.997803806734993,2.1961932650073206,12.57320644216691,48.44436310395315,10.230600292825768,6.826500732064423,5.03294289897511,47.60248901903367,71.32137628111273
01100311,5174,399,574,142,922,1943,529,371,294,2616,3453,100.0,7.711635098569772,11.093931194433706,2.7444916892153075,17.819868573637418,37.55315036722072,10.224197912640124,7.170467723231543,5.682257441051411,50.560494781600305,66.73753382296096
01100312,5202,426,443,103,501,2498,597,333,301,2458,3521,100.0,8.189158016147635,8.51595540176855,1.9800076893502498,9.630911188004614,48.01999231064975,11.476355247981546,6.401384083044983,5.786236063052672,47.25105728565936,67.68550557477893
01100313,5827,404,450,126,1122,2511,611,333,270,2887,4061,100.0,6.933241805388708,7.722670327784452,2.1623476917796465,19.255191350609234,43.09250042903724,10.485670156169556,5.714776042560494,4.6336021966706715,49.54522052514158,69.69280933585034
01100414,3287,313,396,71,239,1819,280,92,77,1669,2516,100.0,9.52236081533313,12.047459689686644,2.1600243383024034,7.271067843017949,55.3392150897475,8.518405841192576,2.7989047763918466,2.3425616063279584,50.77578338910861,76.54396105871616
01100415,6225,443,588,176,736,2947,805,324,206,3119,4295,100.0,7.116465863453815,9.44578313253012,2.8273092369477912,11.823293172690763,47.34136546184739,12.931726907630523,5.204819277108434,3.3092369477911645,50.104417670682736,68.99598393574297
01100416,6016,476,579,179,519,2935,782,348,198,3050,4039,100.0,7.912234042553192,9.62433510638298,2.9753989361702127,8.626994680851062,48.786569148936174,12.998670212765958,5.784574468085106,3.291223404255319,50.69813829787234,67.1376329787234
01200517,2435,185,248,65,361,953,268,187,168,1100,1757,100.0,7.597535934291582,10.184804928131417,2.6694045174537986,14.825462012320328,39.13757700205338,11.006160164271048,7.6796714579055445,6.899383983572896,45.17453798767967,72.15605749486653
01200518,4534,285,370,119,732,1731,578,404,315,2107,3162,100.0,6.2858403176003526,8.16056462284958,2.6246140273489194,16.144684605205118,38.17820908689898,12.748125275694749,8.910454344949272,6.947507719453022,46.4711071901191,69.73974415527128
01200519,5519,318,478,170,717,2172,705,456,503,2510,3820,100.0,5.761913390106903,8.660989309657547,3.0802681645225585,12.991483964486319,39.35495560789998,12.774053270520023,8.262366370719333,9.113969922087335,45.479253487950714,69.21543757927161
01200520,4728,274,410,124,590,1824,571,511,424,2192,2950,100.0,5.795262267343486,8.671742808798646,2.622673434856176,12.478849407783418,38.578680203045685,12.076988155668358,10.807952622673435,8.967851099830796,46.36209813874789,62.394247038917094
01200521,3289,192,338,122,452,1199,393,325,268,1494,2137,100.0,5.837640620249316,10.276679841897234,3.709334144116753,13.742778960170266,36.45484949832776,11.94892064457282,9.881422924901186,8.14837336576467,45.42414107631499,64.9741562785041
01200522,4509,311,378,137,533,1708,548,427,467,2269,2689,100.0,6.897316478154801,8.383233532934131,3.0383677090263914,11.82080283876691,37.8797959636283,12.153470836105566,9.469948990907074,10.357063650476823,50.32157906409404,59.63628298957641
01200623,5892,379,519,171,755,2385,733,520,430,2850,3715,100.0,6.43245078071962,8.808553971486761,2.9022403258655802,12.81398506449423,40.478615071283095,12.440597420230821,8.825526137135098,7.298031228784793,48.37067209775967,63.05159538357095
01200624,4766,455,341,90,536,2648,353,191,152,2256,3394,100.0,9.546789760805707,7.154846831724717,1.888375996642887,11.246328157784305,55.56021821233739,7.406630297943768,4.007553503986571,3.189257238774654,47.335291649181706,71.2127570289551
01200625,4242,263,495,182,492,1338,565,412,495,2080,2472,100.0,6.199905704856199,11.66902404526167,4.29042904290429,11.598302687411598,31.541725601131542,13.31918906176332,9.712399811409712,11.66902404526167,49.03347477604903,58.27439886845828
