id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
011001,9425,605,815,262,1297,3595,1129,919,803,4423,6056,100.0,6.419098143236074,8.647214854111406,2.7798408488063657,13.76127320954907,38.14323607427056,11.978779840848807,9.750663129973475,8.519893899204243,46.92838196286473,64.25464190981432
011002,7015,559,577,181,750,3083,829,572,464,3424,4829,100.0,7.96863863150392,8.225231646471846,2.580185317177477,10.691375623663578,43.94868139700642,11.817533856022807,8.153955808980754,6.6143977191731995,48.809693513898786,68.83820384889523
011003,26777,2249,2283,599,3397,12456,3095,1635,1063,12942,18304,100.0,8.39899914105389,8.525973783470889,2.236994435523023,12.68626059678082,46.517533704298465,11.558427008253352,6.1059864809351305,3.969824849684431,48.332524181200284,68.3571722000224
011004,13360,1202,1288,272,1202,6928,1581,548,339,6770,9127,100.0,8.997005988023952,9.640718562874252,2.035928143712575,8.997005988023952,51.8562874251497,11.833832335329342,4.1017964071856285,2.537425149700599,50.67365269461078,68.31586826347305
012005,23054,1608,2097,711,3035,8704,2906,2102,1891,10681,14839,100.0,6.974928428906047,9.096035395159191,3.084063503079726,13.164743645354385,37.75483647089442,12.6051878199011,9.117723605448079,8.202481131257048,46.33035481912033,64.36627049535872
012006,22317,1702,2120,664,2959,8855,2578,1735,1704,10713,13716,100.0,7.626473092261504,9.499484697764036,2.9753103015638303,13.258950575794238,39.67827216919837,11.551731863601738,7.77434242953802,7.635434870278263,48.00376394676704,61.45987363892996
013007,23897,2064,3066,963,3171,7919,3066,2023,1625,11326,15208,100.0,8.63706741431979,12.830062350922711,4.029794534878855,13.269448047872118,33.13805080135582,12.830062350922711,8.465497761225258,6.800016738502741,47.395070510942794,63.63978742101519
013008,25095,2194,3413,1069,3162,8001,3155,2211,1890,12190,13376,100.0,8.742777445706317,13.600318788603309,4.259812711695557,12.60011954572624,31.88284518828452,12.57222554293684,8.810520023909145,7.531380753138076,48.57541342896992,53.301454473002586
014009,22103,1840,2163,712,2637,8258,2816,2023,1654,10523,13794,100.0,8.324661810613945,9.786001900194544,3.2212821788897434,11.930507170972266,37.361444147853234,12.740351988417862,9.152603718952177,7.48314708410623,47.608921865810075,62.40781794326562
014010,35479,2520,3690,1217,5042,12701,4554,3246,2509,16445,23254,100.0,7.102793201612221,10.400518616646467,3.430198145381775,14.21122354068604,35.79864144987175,12.835762000056372,9.149074100171934,7.071788945573437,46.35136277798134,65.54299726598833
