id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01,207339,56501,4660,3325,6157,2471,3484,12122,7964,4042,2249,4056,12207,2787,3765,16239,7134,3263,1119,76252,35914,2114,27402,6550,6360,2973,5087,11978,100.0,27.25054138391716,2.2475269968505684,1.6036539194266393,2.969532987040547,1.1917680706475868,1.6803399264007253,5.846464003395405,3.8410525757334604,1.9494644037060078,1.0846970420422593,1.956216630735173,5.88745966750105,1.3441754807344493,1.8158667689146761,7.832101051900511,3.440741973290119,1.5737511997260523,0.5396958604025291,36.77648681627673,17.321391537530324,1.0195862814038845,13.216037503798129,3.159077645787816,3.0674402789634367,1.4338836398362103,2.4534699212400946,5.7770125253811395
02,131385,39064,5076,1903,6164,2187,3645,5618,2539,1871,1194,4186,5032,1171,1453,7745,3130,1423,711,44287,26345,1083,12427,2815,3180,3109,4383,8260,100.0,29.732465654374547,3.863454732275374,1.4484149636564296,4.691555352589718,1.6645735814590705,2.7742893024317845,4.275982798645203,1.9324884880313582,1.424059063058949,0.908779541043498,3.1860562469079423,3.829965368953838,0.8912737374890589,1.1059101115043575,5.894889066483997,2.3823115271910793,1.0830764546942193,0.5411576664002741,33.7078053050196,20.051756288769646,0.824295010845987,9.45846177265289,2.142558130684629,2.420367621874643,2.3663279674239828,3.3359972599611827,6.286866841724701
03,96617,36860,3891,1378,4978,2316,2767,7408,2162,2073,869,3598,3696,680,1061,12056,5223,2070,1252,18021,3307,1052,7797,506,3057,2658,4238,1873,100.0,38.15063601643603,4.027241582744238,1.4262500388130455,5.152302389848577,2.397093679166192,2.863885237587588,7.667387726797561,2.2377014397052277,2.1455851454712938,0.8994276369582993,3.7239823219516235,3.8254137470631466,0.7038098885289338,1.0981504290135276,12.478135317801215,5.405880952627385,2.1424801018454307,1.2958382065268017,18.6519970605587,3.4227930902429176,1.0888352981359388,8.07000838361779,0.5237173582288831,3.1640394547543393,2.751068652514568,4.386391628802384,1.938582237080431
04,146895,47680,4378,2815,5252,2495,2640,12419,2753,3173,2394,3208,9250,1591,3088,19190,7108,4595,1021,36862,12381,4389,13502,1921,3413,1648,4498,7610,100.0,32.45855883454168,2.9803601211749893,1.9163347969638176,3.575342932026277,1.6984921202219272,1.7972020831205964,8.454338132679805,1.8741277783450763,2.1600462915688077,1.6297355253752681,2.1838728343374516,6.297014874570271,1.0830865584260867,2.102181830559243,13.063753020865242,4.838830457129243,3.1280846863405833,0.6950542904795942,25.094114843936143,8.428469314816706,2.987848463187991,9.191599441778141,1.307736818816161,2.3234282991252257,1.121889785220736,3.062051124953198,5.180571156268083
05,94834,27561,543,804,1668,649,554,12439,3650,2640,1689,1026,8221,1697,2875,12256,5241,1497,2688,37478,13852,1989,13114,1905,4614,964,574,5969,100.0,29.06236160026995,0.572579454625978,0.8477972035345973,1.7588628550941645,0.6843537128034249,0.5841786700972226,13.11660374971002,3.848830588185672,2.7838117130986775,1.781006811902904,1.081890461226986,8.668831853554632,1.7894426049729,3.03161313452981,12.923634983233862,5.526498934981125,1.5785477782230002,2.8344264715186536,39.519581584663726,14.606575700698063,2.0973490520277536,13.82837378999093,2.008773224792796,4.865343653120189,1.016513064934517,0.6052681527722126,6.294156104350761
06,90011,28739,1789,1931,2510,1731,1219,9581,1423,1729,1780,1871,6416,1332,1891,9200,3664,1801,760,23066,7532,2716,7913,1079,2486,713,4648,4554,100.0,31.928319872015642,1.9875348568508293,2.145293353034629,2.7885480663474462,1.923098287987024,1.3542789214651543,10.64425459110553,1.5809178878137116,1.9208763373365478,1.9775360789236873,2.0786348335203475,7.128017686727178,1.4798191332170512,2.100854340025108,10.220972992189843,4.070613591672129,2.0008665607536855,0.8443412471809001,25.625756851940316,8.367866149692816,3.01740898334648,8.791147748608504,1.1987423759318305,2.761884658541734,0.7921254068947128,5.163813311706347,5.059381631133973
07,134237,39915,2733,2476,4210,1624,1656,13123,2812,2521,3047,2342,10646,1801,3414,11944,4850,2370,1421,46040,22390,1745,15658,3565,4792,973,2890,10380,100.0,29.734722915440603,2.0359513397945426,1.8444989086466475,3.136244105574469,1.2098005765921467,1.2336390115988887,9.775993206046023,2.0948024762174366,1.878021707874878,2.2698659832981964,1.7446754620559162,7.930749346305416,1.3416569202231874,2.5432630347817664,8.89769586626638,3.613012805709305,1.765534092686815,1.0585755045181284,34.29754836594977,16.679454993779657,1.2999396589613892,11.66444422923635,2.6557506499698293,3.569805642259586,0.7248374144237432,2.1529086615463693,7.732592355311874
08,155948,40770,2947,2051,4490,1544,1916,12573,4057,3253,1945,2940,12821,2045,4748,6064,2194,1032,982,67028,36675,971,23840,8510,4523,964,2589,14592,100.0,26.14332982789135,1.88973247492754,1.3151819837381693,2.8791648498217355,0.9900736142816837,1.2286146664272706,8.062302818888348,2.601508195039372,2.0859517274989097,1.2472106086644266,1.885243799215123,8.221330186985405,1.3113345474132403,3.044604611793675,3.888475645728063,1.4068792161489727,0.6617590478877574,0.6296970785133505,42.98099366455485,23.517454536127428,0.6226434452509811,15.287146997717189,5.4569471875240465,2.900325749608844,0.6181547695385642,1.660168774206787,9.356965142226896
09,49100,17312,790,574,1335,738,712,5639,1691,1870,461,875,3143,612,1146,6916,2628,1131,1084,13867,2978,533,6396,612,2602,1504,787,1607,100.0,35.258655804480654,1.6089613034623216,1.169042769857434,2.718940936863544,1.5030549898167007,1.45010183299389,11.484725050916497,3.443991853360489,3.808553971486762,0.9389002036659877,1.7820773930753562,6.40122199592668,1.2464358452138493,2.3340122199592668,14.085539714867618,5.352342158859471,2.303462321792261,2.2077393075356415,28.242362525458248,6.065173116089613,1.0855397148676171,13.026476578411405,1.2464358452138493,5.29938900203666,3.063136456211813,1.6028513238289206,3.2729124236252543
10,59835,15263,214,387,472,219,281,5576,1626,3174,244,233,2810,495,1100,20561,8680,1832,5469,19018,1373,415,6606,215,3226,5591,174,1014,100.0,25.50848165789254,0.35765020472967324,0.6467786412634745,0.7888359655719897,0.3660065179242918,0.46962480153756164,9.318960474638589,2.7174730508899474,5.304587615943845,0.4077880838973845,0.38940419486922373,4.696248015375616,0.8272750062672349,1.8383889028160776,34.362831118910336,14.506559705857775,3.061753154508231,9.140135372273752,31.784072867051055,2.2946436032422497,0.6935739951533383,11.040360992730006,0.359321467368597,5.391493273167878,9.344029414222446,0.29079969917272497,1.6946603158686389
