id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
010111,8548,615,762,258,1486,2991,1012,776,648,4031,5459,100.0,7.194665418811417,8.914365933551709,3.0182498830135707,17.384183434721574,34.99064108563407,11.839026672905943,9.078146934955546,7.580720636406177,47.157229761347686,63.862891904539076
010112,5568,407,476,139,748,2226,710,524,338,2697,3755,100.0,7.309626436781609,8.548850574712644,2.4964080459770113,13.433908045977011,39.978448275862064,12.751436781609197,9.410919540229886,6.070402298850574,48.4375,67.43893678160919
010113,21719,1773,1755,429,3424,9825,2577,1167,769,10544,14969,100.0,8.163359270684655,8.080482526819836,1.9752290621115152,15.76499838850776,45.236889359546936,11.865187163313227,5.373175560569087,3.5406786684469815,48.547354850591645,68.92122105069294
010114,11659,1055,1004,212,1387,6173,1184,379,265,5827,8270,100.0,9.04880349944249,8.611373188095033,1.8183377648168797,11.896389055665152,52.94622180289905,10.155244875203705,3.2507076078565915,2.2729222060210996,49.97855733767905,70.93232695771508
010221,22241,1625,2091,618,3449,8160,2843,1911,1544,10256,14476,100.0,7.306326154399533,9.401555685445798,2.778652039027022,15.507396250168606,36.68899779686165,12.782698619666382,8.59223955757385,6.942133896857156,46.11303448585945,65.08700148374623
010222,18713,1467,1952,551,3176,6403,2332,1443,1389,8956,11305,100.0,7.839469887244162,10.431251001977234,2.9444771014802544,16.97215839256132,34.216854593063644,12.461924865067067,7.711216801154277,7.422647357452039,47.859776625875064,60.41254742692246
010331,23864,2245,3060,921,3745,7830,3039,1647,1377,11208,15609,100.0,9.407475695608449,12.822661749916191,3.8593697619845795,15.693094200469327,32.81092859537378,12.734663090848139,6.9016091183372446,5.770197787462286,46.96614146832048,65.40814616158231
010332,23277,2211,3327,937,3046,7470,2954,1698,1634,11156,12337,100.0,9.498646732826394,14.29307900502642,4.025432830691241,13.08587876444559,32.0917644026292,12.690638828027668,7.294754478669932,7.019804957683551,47.92713837693861,53.00081625639043
010441,20403,1699,2081,549,2893,7371,2699,1733,1378,9605,13073,100.0,8.32720678331618,10.199480468558546,2.690780767534186,14.179287359702005,36.12704014115572,13.22844679703965,8.493848943782776,6.753908738910945,47.07641033181395,64.07391069940695
010442,35218,2669,3775,1206,5722,12437,4602,2618,2189,16086,23428,100.0,7.578510988698961,10.718950536657392,3.4243852575387583,16.24737350218638,35.31432790050542,13.067181554886705,7.433698676812993,6.215571582713386,45.675506843091604,66.5228008404793
