id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01011101,1841,534,41,49,60,18,84,18,90,28,15,27,72,9,28,316,116,56,28,475,81,45,259,19,62,12,46,100,100.0,29.005975013579576,2.2270505160239003,2.6615969581749046,3.259098316132537,0.9777294948397609,4.562737642585551,0.9777294948397609,4.888647474198804,1.520912547528517,0.8147745790331342,1.4665942422596416,3.9109179793590436,0.48886474741988045,1.520912547528517,17.164584464964694,6.300923411189571,3.041825095057034,1.520912547528517,25.801195002715914,4.399782726778924,2.444323737099402,14.068441064638785,1.0320478001086366,3.3677349266702876,0.6518196632265073,2.498642042368278,5.431830526887562
01011102,76,43,6,0,3,3,6,4,9,0,3,0,0,0,0,9,3,3,0,3,0,0,0,0,0,5,0,3,100.0,56.57894736842105,7.894736842105263,0.0,3.9473684210526314,3.9473684210526314,7.894736842105263,5.263157894736842,11.842105263157894,0.0,3.9473684210526314,0.0,0.0,0.0,0.0,11.842105263157894,3.9473684210526314,3.9473684210526314,0.0,3.9473684210526314,0.0,0.0,0.0,0.0,0.0,6.578947368421052,0.0,3.9473684210526314
01011103,2924,971,132,33,84,19,48,39,205,83,145,40,161,25,64,386,162,67,36,958,326,55,385,50,96,50,39,136,100.0,33.207934336525305,4.514363885088919,1.1285909712722297,2.8727770177838576,0.6497948016415869,1.6415868673050615,1.3337893296853625,7.0109439124487,2.838577291381669,4.9589603283173735,1.3679890560875512,5.506155950752394,0.8549931600547196,2.188782489740082,13.201094391244869,5.540355677154583,2.291381668946648,1.231190150478796,32.76333789329685,11.149110807113544,1.880984952120383,13.166894664842681,1.7099863201094392,3.283173734610123,1.7099863201094392,1.3337893296853625,4.651162790697675
01011104,3000,752,99,52,88,28,43,30,135,74,27,21,113,52,12,260,100,68,6,1259,422,58,623,192,74,19,45,188,100.0,25.066666666666666,3.3000000000000003,1.7333333333333332,2.933333333333333,0.9333333333333335,1.4333333333333333,1.0,4.5,2.466666666666667,0.8999999999999999,0.7000000000000001,3.7666666666666666,1.7333333333333332,0.4,8.666666666666668,3.3333333333333335,2.2666666666666666,0.2,41.96666666666667,14.066666666666666,1.9333333333333333,20.766666666666666,6.4,2.466666666666667,0.6333333333333333,1.5,6.266666666666667
01011105,707,181,16,12,27,15,9,14,28,8,6,3,11,0,0,195,90,26,22,221,33,9,117,6,6,0,35,20,100.0,25.601131541725604,2.263083451202263,1.6973125884016973,3.818953323903819,2.1216407355021216,1.272984441301273,1.9801980198019802,3.9603960396039604,1.1315417256011315,0.8486562942008486,0.4243281471004243,1.5558698727015559,0.0,0.0,27.58132956152758,12.729844413012732,3.6775106082036775,3.1117397454031117,31.25884016973126,4.667609618104668,1.272984441301273,16.548797736916548,0.8486562942008486,0.8486562942008486,0.0,4.9504950495049505,2.828854314002829
01011201,1212,296,30,9,43,16,15,16,6,79,38,0,33,3,6,301,134,88,12,274,34,12,190,37,17,24,22,59,100.0,24.422442244224424,2.4752475247524752,0.7425742574257426,3.5478547854785476,1.3201320132013201,1.2376237623762376,1.3201320132013201,0.49504950495049505,6.518151815181518,3.1353135313531353,0.0,2.722772277227723,0.24752475247524752,0.49504950495049505,24.834983498349835,11.056105610561056,7.2607260726072615,0.9900990099009901,22.607260726072607,2.8052805280528053,0.9900990099009901,15.676567656765677,3.052805280528053,1.4026402640264026,1.9801980198019802,1.8151815181518154,4.867986798679868
01011202,300,133,12,3,9,23,3,15,3,4,26,0,6,0,0,49,22,3,0,22,10,0,3,0,0,0,24,3,100.0,44.333333333333336,4.0,1.0,3.0,7.666666666666666,1.0,5.0,1.0,1.3333333333333335,8.666666666666668,0.0,2.0,0.0,0.0,16.333333333333332,7.333333333333333,1.0,0.0,7.333333333333333,3.3333333333333335,0.0,1.0,0.0,0.0,0.0,8.0,1.0
01011203,541,200,15,15,15,9,15,16,24,10,12,3,6,0,3,208,132,15,3,56,18,7,19,3,3,9,19,9,100.0,36.96857670979667,2.7726432532347505,2.7726432532347505,2.7726432532347505,1.6635859519408502,2.7726432532347505,2.957486136783734,4.436229205175601,1.8484288354898337,2.2181146025878005,0.5545286506469501,1.1090573012939002,0.0,0.5545286506469501,38.447319778188536,24.399260628465804,2.7726432532347505,0.5545286506469501,10.35120147874307,3.3271719038817005,1.2939001848428837,3.512014787430684,0.5545286506469501,0.5545286506469501,1.6635859519408502,3.512014787430684,1.6635859519408502
01011204,3515,1218,85,48,104,50,89,100,178,242,40,16,105,15,43,774,403,110,31,689,140,22,386,28,116,129,84,113,100.0,34.65149359886202,2.418207681365576,1.3655761024182078,2.9587482219061165,1.422475106685633,2.532005689900427,2.844950213371266,5.064011379800854,6.8847795163584635,1.1379800853485065,0.4551920341394026,2.987197724039829,0.42674253200568996,1.2233285917496444,22.0199146514936,11.465149359886203,3.1294452347083923,0.8819345661450925,19.60170697012802,3.982930298719772,0.6258890469416786,10.981507823613086,0.7965860597439544,3.3001422475106685,3.669985775248933,2.3897581792318636,3.2147937411095304
01011301,2702,1209,148,46,92,100,109,81,149,61,86,25,79,15,12,366,170,54,26,367,70,57,152,3,35,22,158,45,100.0,44.74463360473723,5.477424130273871,1.7024426350851223,3.4048852701702446,3.7009622501850483,4.034048852701702,2.9977794226498893,5.514433752775721,2.2575869726128794,3.182827535159141,0.9252405625462621,2.923760177646188,0.5551443375277573,0.44411547002220575,13.545521835677278,6.291635825314581,1.9985196150999258,0.9622501850481125,13.582531458179126,2.5906735751295336,2.1095484826054776,5.625462620281273,0.11102886750555144,1.2953367875647668,0.8142116950407106,5.847520355292376,1.6654330125832717
